"Age"	"Iteration"	"MeanIndividualWeight"	"StratumTransfer"	"Quarter"
9	15	0.182877154339	"Transfer.area"	"Q4"
10	15	0.183183212724	"Transfer.area"	"Q4"
11	15	0	"Transfer.area"	"Q4"
12	15	0	"Transfer.area"	"Q4"
13	15	0	"Transfer.area"	"Q4"
14	15	0	"Transfer.area"	"Q4"
15	15	0.183507415788	"Transfer.area"	"Q4"
1	16	0.0928223132782	"Transfer.area"	"Q4"
2	16	0.13543971689	"Transfer.area"	"Q4"
3	16	0.161092959631	"Transfer.area"	"Q4"
4	16	0.175416891957	"Transfer.area"	"Q4"
5	16	0.183145997465	"Transfer.area"	"Q4"
6	16	0.187247570421	"Transfer.area"	"Q4"
7	16	0.189405902961	"Transfer.area"	"Q4"
8	16	0.190536775791	"Transfer.area"	"Q4"
9	16	0.191127985216	"Transfer.area"	"Q4"
10	16	0.191436706466	"Transfer.area"	"Q4"
11	16	0	"Transfer.area"	"Q4"
12	16	0	"Transfer.area"	"Q4"
13	16	0	"Transfer.area"	"Q4"
14	16	0	"Transfer.area"	"Q4"
15	16	0.191760513155	"Transfer.area"	"Q4"
1	17	0.0978017542736	"Transfer.area"	"Q4"
2	17	0.140730389368	"Transfer.area"	"Q4"
3	17	0.166551152252	"Transfer.area"	"Q4"
4	17	0.181051805709	"Transfer.area"	"Q4"
5	17	0.188943171059	"Transfer.area"	"Q4"
6	17	0.193171820084	"Transfer.area"	"Q4"
7	17	0.195420018311	"Transfer.area"	"Q4"
8	17	0.196610436054	"Transfer.area"	"Q4"
9	17	0.197239422131	"Transfer.area"	"Q4"
10	17	0.197571391872	"Transfer.area"	"Q4"
11	17	0.197746498029	"Transfer.area"	"Q4"
12	17	0	"Transfer.area"	"Q4"
13	17	0	"Transfer.area"	"Q4"
14	17	0	"Transfer.area"	"Q4"
15	17	0.19792670941	"Transfer.area"	"Q4"
1	18	0.0903034453659	"Transfer.area"	"Q4"
2	18	0.134107121084	"Transfer.area"	"Q4"
3	18	0.160198504982	"Transfer.area"	"Q4"
4	18	0.174470401715	"Transfer.area"	"Q4"
5	18	0.181985194487	"Transfer.area"	"Q4"
6	18	0.185870681737	"Transfer.area"	"Q4"
7	18	0.187861712716	"Transfer.area"	"Q4"
8	18	0.18887740421	"Transfer.area"	"Q4"
9	18	0.18939437208	"Transfer.area"	"Q4"
10	18	0.189657198195	"Transfer.area"	"Q4"
11	18	0.189790741372	"Transfer.area"	"Q4"
12	18	0	"Transfer.area"	"Q4"
13	18	0	"Transfer.area"	"Q4"
14	18	0	"Transfer.area"	"Q4"
15	18	0.189919407456	"Transfer.area"	"Q4"
1	19	0.0913337387165	"Transfer.area"	"Q4"
2	19	0.135462149434	"Transfer.area"	"Q4"
3	19	0.161641576398	"Transfer.area"	"Q4"
4	19	0.175904208454	"Transfer.area"	"Q4"
5	19	0.183384728415	"Transfer.area"	"Q4"
6	19	0.187237736612	"Transfer.area"	"Q4"
7	19	0.189204741735	"Transfer.area"	"Q4"
8	19	0.190204477976	"Transfer.area"	"Q4"
9	19	0.190711466705	"Transfer.area"	"Q4"
10	19	0.19096828366	"Transfer.area"	"Q4"
11	19	0	"Transfer.area"	"Q4"
12	19	0.191164106298	"Transfer.area"	"Q4"
13	19	0	"Transfer.area"	"Q4"
14	19	0	"Transfer.area"	"Q4"
15	19	0.19122278323	"Transfer.area"	"Q4"
1	20	0.0872335313305	"Transfer.area"	"Q4"
2	20	0.128978124292	"Transfer.area"	"Q4"
3	20	0.154545321299	"Transfer.area"	"Q4"
4	20	0.169018861543	"Transfer.area"	"Q4"
5	20	0.176921986391	"Transfer.area"	"Q4"
6	20	0.181161557016	"Transfer.area"	"Q4"
7	20	0.183415434281	"Transfer.area"	"Q4"
8	20	0.184608089326	"Transfer.area"	"Q4"
9	20	0.185237659357	"Transfer.area"	"Q4"
10	20	0.185569569391	"Transfer.area"	"Q4"
11	20	0.18574443581	"Transfer.area"	"Q4"
12	20	0.185836531611	"Transfer.area"	"Q4"
13	20	0	"Transfer.area"	"Q4"
14	20	0	"Transfer.area"	"Q4"
15	20	0.185924002163	"Transfer.area"	"Q4"
1	21	0.0905184248212	"Transfer.area"	"Q4"
2	21	0.130399869543	"Transfer.area"	"Q4"
3	21	0.154647568192	"Transfer.area"	"Q4"
4	21	0.168427787068	"Transfer.area"	"Q4"
5	21	0.176018913656	"Transfer.area"	"Q4"
6	21	0.180136459846	"Transfer.area"	"Q4"
7	21	0.182352197266	"Transfer.area"	"Q4"
8	21	0.183539583992	"Transfer.area"	"Q4"
9	21	0.1841744948	"Transfer.area"	"Q4"
10	21	0.184513594586	"Transfer.area"	"Q4"
11	21	0.184694592407	"Transfer.area"	"Q4"
12	21	0.184791169902	"Transfer.area"	"Q4"
13	21	0	"Transfer.area"	"Q4"
14	21	0.184870177519	"Transfer.area"	"Q4"
15	21	0.184884838114	"Transfer.area"	"Q4"
1	22	0.0894528268757	"Transfer.area"	"Q4"
2	22	0.129186361664	"Transfer.area"	"Q4"
3	22	0.153282597646	"Transfer.area"	"Q4"
4	22	0.166920250958	"Transfer.area"	"Q4"
5	22	0.174397166403	"Transfer.area"	"Q4"
6	22	0.178432496406	"Transfer.area"	"Q4"
7	22	0.180592938677	"Transfer.area"	"Q4"
8	22	0.181744766489	"Transfer.area"	"Q4"
9	22	0.182357507474	"Transfer.area"	"Q4"
10	22	0.182683090615	"Transfer.area"	"Q4"
11	22	0.182855984636	"Transfer.area"	"Q4"
12	22	0	"Transfer.area"	"Q4"
13	22	0	"Transfer.area"	"Q4"
14	22	0.183022334491	"Transfer.area"	"Q4"
15	22	0.183036054704	"Transfer.area"	"Q4"
1	23	0.102050716355	"Transfer.area"	"Q4"
2	23	0.148302875723	"Transfer.area"	"Q4"
3	23	0.176615204125	"Transfer.area"	"Q4"
4	23	0.192764874234	"Transfer.area"	"Q4"
5	23	0.201681193366	"Transfer.area"	"Q4"
6	23	0.206524834998	"Transfer.area"	"Q4"
7	23	0.209134233291	"Transfer.area"	"Q4"
8	23	0.210533868879	"Transfer.area"	"Q4"
9	23	0.211282881563	"Transfer.area"	"Q4"
10	23	0.211683224641	"Transfer.area"	"Q4"
11	23	0.211897066568	"Transfer.area"	"Q4"
12	23	0	"Transfer.area"	"Q4"
13	23	0	"Transfer.area"	"Q4"
14	23	0.212104748272	"Transfer.area"	"Q4"
15	23	0.212122117599	"Transfer.area"	"Q4"
1	24	0.0920905683596	"Transfer.area"	"Q4"
2	24	0.135958950652	"Transfer.area"	"Q4"
3	24	0.16310071655	"Transfer.area"	"Q4"
4	24	0.178658272969	"Transfer.area"	"Q4"
5	24	0.187266367127	"Transfer.area"	"Q4"
6	24	0.191946485722	"Transfer.area"	"Q4"
7	24	0.194468176533	"Transfer.area"	"Q4"
8	24	0.195820494003	"Transfer.area"	"Q4"
9	24	0.19654390331	"Transfer.area"	"Q4"
10	24	0.196930373335	"Transfer.area"	"Q4"
11	24	0	"Transfer.area"	"Q4"
12	24	0	"Transfer.area"	"Q4"
13	24	0	"Transfer.area"	"Q4"
14	24	0.197336886604	"Transfer.area"	"Q4"
15	24	0.197353606043	"Transfer.area"	"Q4"
1	25	0.0946729799207	"Transfer.area"	"Q4"
2	25	0.135784981019	"Transfer.area"	"Q4"
3	25	0.160000810743	"Transfer.area"	"Q4"
4	25	0.173296522639	"Transfer.area"	"Q4"
5	25	0.180368632069	"Transfer.area"	"Q4"
6	25	0.18407311472	"Transfer.area"	"Q4"
7	25	0.18599878389	"Transfer.area"	"Q4"
8	25	0.186995908313	"Transfer.area"	"Q4"
9	25	0.187511201783	"Transfer.area"	"Q4"
10	25	0.187777223514	"Transfer.area"	"Q4"
11	25	0	"Transfer.area"	"Q4"
12	25	0	"Transfer.area"	"Q4"
13	25	0	"Transfer.area"	"Q4"
14	25	0.188040645754	"Transfer.area"	"Q4"
15	25	0.188050358922	"Transfer.area"	"Q4"
1	26	0.0916450419477	"Transfer.area"	"Q4"
2	26	0.130605915872	"Transfer.area"	"Q4"
3	26	0.154727046356	"Transfer.area"	"Q4"
4	26	0.168797592547	"Transfer.area"	"Q4"
5	26	0.176778458058	"Transfer.area"	"Q4"
6	26	0.181241230258	"Transfer.area"	"Q4"
7	26	0.183718071653	"Transfer.area"	"Q4"
8	26	0.185087180918	"Transfer.area"	"Q4"
9	26	0.185842317124	"Transfer.area"	"Q4"
10	26	0.186258315787	"Transfer.area"	"Q4"
11	26	0	"Transfer.area"	"Q4"
12	26	0	"Transfer.area"	"Q4"
13	26	0	"Transfer.area"	"Q4"
14	26	0.186720874121	"Transfer.area"	"Q4"
15	26	0.186741863206	"Transfer.area"	"Q4"
1	27	0.0938217894209	"Transfer.area"	"Q4"
2	27	0.137274619615	"Transfer.area"	"Q4"
3	27	0.163849335298	"Transfer.area"	"Q4"
4	27	0.178943036476	"Transfer.area"	"Q4"
5	27	0.187228951915	"Transfer.area"	"Q4"
6	27	0.191701767923	"Transfer.area"	"Q4"
7	27	0.194095561593	"Transfer.area"	"Q4"
8	27	0.195370970182	"Transfer.area"	"Q4"
9	27	0.196048911345	"Transfer.area"	"Q4"
10	27	0.196408823705	"Transfer.area"	"Q4"
11	27	0	"Transfer.area"	"Q4"
12	27	0	"Transfer.area"	"Q4"
13	27	0	"Transfer.area"	"Q4"
14	27	0.196783216813	"Transfer.area"	"Q4"
15	27	0.196798312409	"Transfer.area"	"Q4"
1	28	0.0862703235776	"Transfer.area"	"Q4"
2	28	0.125057163739	"Transfer.area"	"Q4"
3	28	0.14833972152	"Transfer.area"	"Q4"
4	28	0.161338769621	"Transfer.area"	"Q4"
5	28	0.168360672116	"Transfer.area"	"Q4"
6	28	0.172093110005	"Transfer.area"	"Q4"
7	28	0.174060959456	"Transfer.area"	"Q4"
8	28	0.175094134582	"Transfer.area"	"Q4"
9	28	0.175635405699	"Transfer.area"	"Q4"
10	28	0.175918653265	"Transfer.area"	"Q4"
11	28	0	"Transfer.area"	"Q4"
12	28	0	"Transfer.area"	"Q4"
13	28	0.176184727749	"Transfer.area"	"Q4"
14	28	0.176205890654	"Transfer.area"	"Q4"
15	28	0.176216952132	"Transfer.area"	"Q4"
1	29	0.0868343676875	"Transfer.area"	"Q4"
2	29	0.126595476706	"Transfer.area"	"Q4"
3	29	0.150377241961	"Transfer.area"	"Q4"
4	29	0.163564079153	"Transfer.area"	"Q4"
5	29	0.170629490542	"Transfer.area"	"Q4"
6	29	0.174352587746	"Transfer.area"	"Q4"
7	29	0.176298159559	"Transfer.area"	"Q4"
8	29	0.177310540857	"Transfer.area"	"Q4"
9	29	0.177836186309	"Transfer.area"	"Q4"
10	29	0.178108803218	"Transfer.area"	"Q4"
11	29	0.178250109019	"Transfer.area"	"Q4"
12	29	0.178323330153	"Transfer.area"	"Q4"
13	29	0	"Transfer.area"	"Q4"
14	29	0.178380918156	"Transfer.area"	"Q4"
15	29	0.178391098784	"Transfer.area"	"Q4"
1	30	0.0936474358584	"Transfer.area"	"Q4"
2	30	0.137043070614	"Transfer.area"	"Q4"
3	30	0.162880249804	"Transfer.area"	"Q4"
4	30	0.177105778145	"Transfer.area"	"Q4"
5	30	0.184666883118	"Transfer.area"	"Q4"
6	30	0.18861803555	"Transfer.area"	"Q4"
7	30	0.190665378838	"Transfer.area"	"Q4"
8	30	0.191721713767	"Transfer.area"	"Q4"
9	30	0.192265548681	"Transfer.area"	"Q4"
10	30	0.192545220616	"Transfer.area"	"Q4"
11	30	0.192688962323	"Transfer.area"	"Q4"
12	30	0	"Transfer.area"	"Q4"
13	30	0	"Transfer.area"	"Q4"
14	30	0.192820253104	"Transfer.area"	"Q4"
15	30	0.192830265303	"Transfer.area"	"Q4"
1	31	0.0941367608974	"Transfer.area"	"Q4"
2	31	0.136753508619	"Transfer.area"	"Q4"
3	31	0.162285152883	"Transfer.area"	"Q4"
4	31	0.17649326857	"Transfer.area"	"Q4"
5	31	0.184139246809	"Transfer.area"	"Q4"
6	31	0.188187217732	"Transfer.area"	"Q4"
7	31	0.190312770156	"Transfer.area"	"Q4"
8	31	0.191424194014	"Transfer.area"	"Q4"
9	31	0.192004083515	"Transfer.area"	"Q4"
10	31	0.192306303027	"Transfer.area"	"Q4"
11	31	0.192463718058	"Transfer.area"	"Q4"
12	31	0.192545684876	"Transfer.area"	"Q4"
13	31	0	"Transfer.area"	"Q4"
14	31	0.192610573819	"Transfer.area"	"Q4"
15	31	0.192622138085	"Transfer.area"	"Q4"
1	32	0.0855867108521	"Transfer.area"	"Q4"
2	32	0.126275378437	"Transfer.area"	"Q4"
3	32	0.150885490268	"Transfer.area"	"Q4"
4	32	0.164630444301	"Transfer.area"	"Q4"
5	32	0.172034189116	"Transfer.area"	"Q4"
6	32	0.17595259994	"Transfer.area"	"Q4"
7	32	0.178008125934	"Transfer.area"	"Q4"
8	32	0.179081549691	"Transfer.area"	"Q4"
9	32	0.179640801338	"Transfer.area"	"Q4"
10	32	0.179931819243	"Transfer.area"	"Q4"
11	32	0.180083161659	"Transfer.area"	"Q4"
12	32	0.180161840997	"Transfer.area"	"Q4"
13	32	0	"Transfer.area"	"Q4"
14	32	0.180223993376	"Transfer.area"	"Q4"
15	32	0.180235040404	"Transfer.area"	"Q4"
1	33	0.0875566290342	"Transfer.area"	"Q4"
2	33	0.12506365696	"Transfer.area"	"Q4"
3	33	0.147972628764	"Transfer.area"	"Q4"
4	33	0.161114317153	"Transfer.area"	"Q4"
5	33	0.168436070545	"Transfer.area"	"Q4"
6	33	0.17245605584	"Transfer.area"	"Q4"
7	33	0.174646505066	"Transfer.area"	"Q4"
8	33	0	"Transfer.area"	"Q4"
9	33	0.176479031081	"Transfer.area"	"Q4"
10	33	0.176827251326	"Transfer.area"	"Q4"
11	33	0.177015491807	"Transfer.area"	"Q4"
12	33	0.177117216547	"Transfer.area"	"Q4"
13	33	0	"Transfer.area"	"Q4"
14	33	0.177201871456	"Transfer.area"	"Q4"
15	33	0.177217912187	"Transfer.area"	"Q4"
1	34	0.0861528303449	"Transfer.area"	"Q4"
2	34	0.123334703373	"Transfer.area"	"Q4"
3	34	0.146344208117	"Transfer.area"	"Q4"
4	34	0.159730770488	"Transfer.area"	"Q4"
5	34	0.167296288247	"Transfer.area"	"Q4"
6	34	0.171509684889	"Transfer.area"	"Q4"
7	34	0.173838183404	"Transfer.area"	"Q4"
8	34	0.175119703108	"Transfer.area"	"Q4"
9	34	0.17582342933	"Transfer.area"	"Q4"
10	34	0.176209399687	"Transfer.area"	"Q4"
11	34	0.176420951091	"Transfer.area"	"Q4"
12	34	0.176536860934	"Transfer.area"	"Q4"
13	34	0	"Transfer.area"	"Q4"
14	34	0.176635134185	"Transfer.area"	"Q4"
15	34	0.17665418242	"Transfer.area"	"Q4"
1	35	0.0982552862137	"Transfer.area"	"Q4"
2	35	0.141630343577	"Transfer.area"	"Q4"
3	35	0.168109307729	"Transfer.area"	"Q4"
4	35	0.183224021457	"Transfer.area"	"Q4"
5	35	0.191587657941	"Transfer.area"	"Q4"
6	35	0.196144521144	"Transfer.area"	"Q4"
7	35	0.198607543831	"Transfer.area"	"Q4"
8	35	0.199933256762	"Transfer.area"	"Q4"
9	35	0.200645232457	"Transfer.area"	"Q4"
10	35	0.201027147353	"Transfer.area"	"Q4"
11	35	0	"Transfer.area"	"Q4"
12	35	0.201341599796	"Transfer.area"	"Q4"
13	35	0	"Transfer.area"	"Q4"
14	35	0.201431880311	"Transfer.area"	"Q4"
15	35	0.201448752459	"Transfer.area"	"Q4"
1	36	0.0962860819026	"Transfer.area"	"Q4"
2	36	0.139035649546	"Transfer.area"	"Q4"
3	36	0.165105521696	"Transfer.area"	"Q4"
4	36	0.17995635133	"Transfer.area"	"Q4"
5	36	0.188153855237	"Transfer.area"	"Q4"
6	36	0.192608508994	"Transfer.area"	"Q4"
7	36	0.195009815463	"Transfer.area"	"Q4"
8	36	0.196298802296	"Transfer.area"	"Q4"
9	36	0.196989169881	"Transfer.area"	"Q4"
10	36	0.197358485351	"Transfer.area"	"Q4"
11	36	0	"Transfer.area"	"Q4"
12	36	0	"Transfer.area"	"Q4"
13	36	0	"Transfer.area"	"Q4"
14	36	0.197747957614	"Transfer.area"	"Q4"
