"Age"	"Iteration"	"MeanIndividualLength"	"StratumTransfer"	"Quarter"
4	11	27.63732288012	"Transfer.area"	"Q4"
5	11	28.081713947733	"Transfer.area"	"Q4"
6	11	28.31600298254	"Transfer.area"	"Q4"
7	11	28.439765186686	"Transfer.area"	"Q4"
8	11	28.505208466722	"Transfer.area"	"Q4"
9	11	28.539832138888	"Transfer.area"	"Q4"
10	11	28.558155403232	"Transfer.area"	"Q4"
11	11	28.567853729338	"Transfer.area"	"Q4"
12	11	28.572987360501	"Transfer.area"	"Q4"
13	11	0	"Transfer.area"	"Q4"
14	11	28.577143419286	"Transfer.area"	"Q4"
15	11	28.577904947844	"Transfer.area"	"Q4"
1	12	22.023686295996	"Transfer.area"	"Q4"
2	12	25.071829408431	"Transfer.area"	"Q4"
3	12	26.633043170443	"Transfer.area"	"Q4"
4	12	27.44834550127	"Transfer.area"	"Q4"
5	12	27.877905105609	"Transfer.area"	"Q4"
6	12	28.105219295041	"Transfer.area"	"Q4"
7	12	28.225778665978	"Transfer.area"	"Q4"
8	12	28.289793642651	"Transfer.area"	"Q4"
9	12	28.323805356702	"Transfer.area"	"Q4"
10	12	28.341881935978	"Transfer.area"	"Q4"
11	12	28.351490945464	"Transfer.area"	"Q4"
12	12	28.356599295127	"Transfer.area"	"Q4"
13	12	0	"Transfer.area"	"Q4"
14	12	28.360759034443	"Transfer.area"	"Q4"
15	12	28.361526710623	"Transfer.area"	"Q4"
1	13	22.378297800252	"Transfer.area"	"Q4"
2	13	25.5947858231	"Transfer.area"	"Q4"
3	13	27.223303465753	"Transfer.area"	"Q4"
4	13	28.061100026896	"Transfer.area"	"Q4"
5	13	28.495222580657	"Transfer.area"	"Q4"
6	13	28.720961738804	"Transfer.area"	"Q4"
7	13	28.83855091346	"Transfer.area"	"Q4"
8	13	28.899859351997	"Transfer.area"	"Q4"
9	13	28.931839175936	"Transfer.area"	"Q4"
10	13	28.948524600205	"Transfer.area"	"Q4"
11	13	0	"Transfer.area"	"Q4"
12	13	0	"Transfer.area"	"Q4"
13	13	0	"Transfer.area"	"Q4"
14	13	0	"Transfer.area"	"Q4"
15	13	28.966029252037	"Transfer.area"	"Q4"
1	14	22.074833790485	"Transfer.area"	"Q4"
2	14	25.199265900998	"Transfer.area"	"Q4"
3	14	26.778420739792	"Transfer.area"	"Q4"
4	14	27.589967628833	"Transfer.area"	"Q4"
5	14	28.010175431127	"Transfer.area"	"Q4"
6	14	28.22854891372	"Transfer.area"	"Q4"
7	14	28.342241920884	"Transfer.area"	"Q4"
8	14	28.401490289846	"Transfer.area"	"Q4"
9	14	28.432381170714	"Transfer.area"	"Q4"
10	14	28.448491107873	"Transfer.area"	"Q4"
11	14	0	"Transfer.area"	"Q4"
12	14	0	"Transfer.area"	"Q4"
13	14	0	"Transfer.area"	"Q4"
14	14	0	"Transfer.area"	"Q4"
15	14	28.465377700778	"Transfer.area"	"Q4"
1	15	22.391858247562	"Transfer.area"	"Q4"
2	15	25.54515719987	"Transfer.area"	"Q4"
3	15	27.144573773295	"Transfer.area"	"Q4"
4	15	27.970023529348	"Transfer.area"	"Q4"
5	15	28.399388589354	"Transfer.area"	"Q4"
6	15	28.62358320037	"Transfer.area"	"Q4"
7	15	28.740874041272	"Transfer.area"	"Q4"
8	15	28.802297672917	"Transfer.area"	"Q4"
9	15	28.83448103491	"Transfer.area"	"Q4"
10	15	28.85134829128	"Transfer.area"	"Q4"
11	15	0	"Transfer.area"	"Q4"
12	15	0	"Transfer.area"	"Q4"
13	15	0	"Transfer.area"	"Q4"
14	15	0	"Transfer.area"	"Q4"
15	15	28.869195547679	"Transfer.area"	"Q4"
1	16	22.736617854951	"Transfer.area"	"Q4"
2	16	25.938375485859	"Transfer.area"	"Q4"
3	16	27.555567384986	"Transfer.area"	"Q4"
4	16	28.386306560735	"Transfer.area"	"Q4"
5	16	28.816309589883	"Transfer.area"	"Q4"
6	16	29.039709903137	"Transfer.area"	"Q4"
7	16	29.15598965022	"Transfer.area"	"Q4"
8	16	29.216570894496	"Transfer.area"	"Q4"
9	16	29.2481490015	"Transfer.area"	"Q4"
10	16	29.264613365186	"Transfer.area"	"Q4"
11	16	0	"Transfer.area"	"Q4"
12	16	0	"Transfer.area"	"Q4"
13	16	0	"Transfer.area"	"Q4"
14	16	0	"Transfer.area"	"Q4"
15	16	29.28186367713	"Transfer.area"	"Q4"
1	17	22.884125811528	"Transfer.area"	"Q4"
2	17	26.026945279361	"Transfer.area"	"Q4"
