"Age"	"Iteration"	"MeanIndividualLength"	"Stratum"	"Quarter"
12	15	0	"27.4.aE"	"Q4"
13	15	29.783783358936	"27.4.aE"	"Q4"
14	15	0	"27.4.aE"	"Q4"
1	16	23.349692415748	"27.4.aE"	"Q4"
2	16	25.909591394055	"27.4.aE"	"Q4"
3	16	27.342873054503	"27.4.aE"	"Q4"
4	16	28.178809813146	"27.4.aE"	"Q4"
5	16	28.67635325075	"27.4.aE"	"Q4"
6	16	28.97578416373	"27.4.aE"	"Q4"
7	16	29.157132649738	"27.4.aE"	"Q4"
8	16	29.267375136549	"27.4.aE"	"Q4"
9	16	29.334541243414	"27.4.aE"	"Q4"
10	16	29.375517631069	"27.4.aE"	"Q4"
11	16	0	"27.4.aE"	"Q4"
12	16	0	"27.4.aE"	"Q4"
13	16	0	"27.4.aE"	"Q4"
14	16	0	"27.4.aE"	"Q4"
1	17	23.58042028634	"27.4.aE"	"Q4"
2	17	26.03958136825	"27.4.aE"	"Q4"
3	17	27.421659744259	"27.4.aE"	"Q4"
4	17	28.232804864416	"27.4.aE"	"Q4"
5	17	28.719291726393	"27.4.aE"	"Q4"
6	17	29.014553759056	"27.4.aE"	"Q4"
7	17	29.194989014351	"27.4.aE"	"Q4"
8	17	29.305702325558	"27.4.aE"	"Q4"
9	17	29.373801402672	"27.4.aE"	"Q4"
10	17	29.415751125957	"27.4.aE"	"Q4"
11	17	0	"27.4.aE"	"Q4"
12	17	0	"27.4.aE"	"Q4"
13	17	0	"27.4.aE"	"Q4"
14	17	0	"27.4.aE"	"Q4"
1	18	23.697253025979	"27.4.aE"	"Q4"
2	18	26.30648371801	"27.4.aE"	"Q4"
3	18	27.737064095054	"27.4.aE"	"Q4"
4	18	28.55206251591	"27.4.aE"	"Q4"
5	18	29.025151127768	"27.4.aE"	"Q4"
6	18	29.302536695748	"27.4.aE"	"Q4"
7	18	29.4660920075	"27.4.aE"	"Q4"
8	18	29.562840973353	"27.4.aE"	"Q4"
9	18	29.620179168058	"27.4.aE"	"Q4"
10	18	29.654198120892	"27.4.aE"	"Q4"
11	18	0	"27.4.aE"	"Q4"
12	18	0	"27.4.aE"	"Q4"
13	18	29.693515850647	"27.4.aE"	"Q4"
14	18	0	"27.4.aE"	"Q4"
1	19	23.347736030928	"27.4.aE"	"Q4"
2	19	25.970493203589	"27.4.aE"	"Q4"
3	19	27.387713118518	"27.4.aE"	"Q4"
4	19	28.181453353553	"27.4.aE"	"Q4"
5	19	28.63376412406	"27.4.aE"	"Q4"
6	19	28.893875025342	"27.4.aE"	"Q4"
7	19	29.044211175118	"27.4.aE"	"Q4"
8	19	29.131347627802	"27.4.aE"	"Q4"
9	19	29.181934789763	"27.4.aE"	"Q4"
10	19	29.211330651377	"27.4.aE"	"Q4"
11	19	0	"27.4.aE"	"Q4"
12	19	0	"27.4.aE"	"Q4"
13	19	0	"27.4.aE"	"Q4"
14	19	0	"27.4.aE"	"Q4"
1	20	23.671600236375	"27.4.aE"	"Q4"
2	20	26.257269202503	"27.4.aE"	"Q4"
3	20	27.669441956228	"27.4.aE"	"Q4"
4	20	28.470773296234	"27.4.aE"	"Q4"
5	20	28.934048914982	"27.4.aE"	"Q4"
6	20	29.204562379976	"27.4.aE"	"Q4"
7	20	29.363399066426	"27.4.aE"	"Q4"
8	20	29.456959690849	"27.4.aE"	"Q4"
9	20	29.512172056184	"27.4.aE"	"Q4"
10	20	29.544789363748	"27.4.aE"	"Q4"
11	20	0	"27.4.aE"	"Q4"
12	20	0	"27.4.aE"	"Q4"
13	20	29.582216897859	"27.4.aE"	"Q4"
14	20	0	"27.4.aE"	"Q4"
1	21	23.664502253949	"27.4.aE"	"Q4"
2	21	26.307750848794	"27.4.aE"	"Q4"
3	21	27.751526816908	"27.4.aE"	"Q4"
4	21	28.570089306787	"27.4.aE"	"Q4"
5	21	29.042689083197	"27.4.aE"	"Q4"
6	21	29.318199273911	"27.4.aE"	"Q4"
7	21	29.479681170409	"27.4.aE"	"Q4"
8	21	29.574620850186	"27.4.aE"	"Q4"
9	21	29.630538189489	"27.4.aE"	"Q4"
10	21	29.663506569487	"27.4.aE"	"Q4"
11	21	0	"27.4.aE"	"Q4"
12	21	0	"27.4.aE"	"Q4"
13	21	29.701210511432	"27.4.aE"	"Q4"
14	21	0	"27.4.aE"	"Q4"
1	22	23.885204004979	"27.4.aE"	"Q4"
2	22	26.509080283791	"27.4.aE"	"Q4"
3	22	27.963558923051	"27.4.aE"	"Q4"
4	22	28.802412584141	"27.4.aE"	"Q4"
5	22	29.295765279814	"27.4.aE"	"Q4"
6	22	29.589002119973	"27.4.aE"	"Q4"
7	22	29.764341491619	"27.4.aE"	"Q4"
8	22	29.869550254863	"27.4.aE"	"Q4"
9	22	29.932808395487	"27.4.aE"	"Q4"
10	22	29.970889715385	"27.4.aE"	"Q4"
11	22	0	"27.4.aE"	"Q4"
12	22	0	"27.4.aE"	"Q4"
13	22	30.015994275176	"27.4.aE"	"Q4"
14	22	0	"27.4.aE"	"Q4"
1	23	22.659225621618	"27.4.aE"	"Q4"
2	23	25.181024966651	"27.4.aE"	"Q4"
3	23	26.547834593331	"27.4.aE"	"Q4"
4	23	27.316245171395	"27.4.aE"	"Q4"
5	23	27.755964658048	"27.4.aE"	"Q4"
6	23	28.009962413149	"27.4.aE"	"Q4"
7	23	28.157443327824	"27.4.aE"	"Q4"
8	23	28.243328325166	"27.4.aE"	"Q4"
9	23	28.29342756213	"27.4.aE"	"Q4"
10	23	28.322680439988	"27.4.aE"	"Q4"
11	23	0	"27.4.aE"	"Q4"
12	23	0	"27.4.aE"	"Q4"
13	23	28.355597214487	"27.4.aE"	"Q4"
14	23	0	"27.4.aE"	"Q4"
1	24	23.008774260691	"27.4.aE"	"Q4"
2	24	25.594674400258	"27.4.aE"	"Q4"
3	24	27.010107939385	"27.4.aE"	"Q4"
4	24	27.814263780986	"27.4.aE"	"Q4"
5	24	28.279509588458	"27.4.aE"	"Q4"
6	24	28.551300276211	"27.4.aE"	"Q4"
7	24	28.71093846117	"27.4.aE"	"Q4"
8	24	28.80499387878	"27.4.aE"	"Q4"
9	24	28.860508997467	"27.4.aE"	"Q4"
10	24	28.893310617391	"27.4.aE"	"Q4"
11	24	0	"27.4.aE"	"Q4"
12	24	0	"27.4.aE"	"Q4"
13	24	28.930958791683	"27.4.aE"	"Q4"
14	24	0	"27.4.aE"	"Q4"
1	25	23.591499408603	"27.4.aE"	"Q4"
2	25	26.187312066072	"27.4.aE"	"Q4"
3	25	27.608117007286	"27.4.aE"	"Q4"
4	25	28.416043046026	"27.4.aE"	"Q4"
5	25	28.8841078671	"27.4.aE"	"Q4"
6	25	29.157991437964	"27.4.aE"	"Q4"
7	25	29.319146687865	"27.4.aE"	"Q4"
8	25	29.414274883885	"27.4.aE"	"Q4"
9	25	29.470532331606	"27.4.aE"	"Q4"
10	25	29.503838385552	"27.4.aE"	"Q4"
11	25	0	"27.4.aE"	"Q4"
12	25	0	"27.4.aE"	"Q4"
13	25	29.542193565889	"27.4.aE"	"Q4"
14	25	0	"27.4.aE"	"Q4"
1	26	23.291889545886	"27.4.aE"	"Q4"
2	26	25.884633754885	"27.4.aE"	"Q4"
3	26	27.313399686361	"27.4.aE"	"Q4"
4	26	28.131569860344	"27.4.aE"	"Q4"
5	26	28.609002824709	"27.4.aE"	"Q4"
6	26	28.890437721685	"27.4.aE"	"Q4"
7	26	29.05728407459	"27.4.aE"	"Q4"
8	26	29.156523103644	"27.4.aE"	"Q4"
9	26	29.215663425387	"27.4.aE"	"Q4"
10	26	29.250947443757	"27.4.aE"	"Q4"
11	26	0	"27.4.aE"	"Q4"
12	26	0	"27.4.aE"	"Q4"
13	26	0	"27.4.aE"	"Q4"
14	26	0	"27.4.aE"	"Q4"
1	27	23.468380954658	"27.4.aE"	"Q4"
2	27	26.146902926661	"27.4.aE"	"Q4"
3	27	27.598982609842	"27.4.aE"	"Q4"
4	27	28.41461394426	"27.4.aE"	"Q4"
5	27	28.880685892452	"27.4.aE"	"Q4"
6	27	29.149436924592	"27.4.aE"	"Q4"
7	27	29.305184556275	"27.4.aE"	"Q4"
8	27	29.395699864698	"27.4.aE"	"Q4"
9	27	29.448389718531	"27.4.aE"	"Q4"
10	27	29.479089736914	"27.4.aE"	"Q4"
11	27	0	"27.4.aE"	"Q4"
12	27	0	"27.4.aE"	"Q4"
13	27	0	"27.4.aE"	"Q4"
14	27	0	"27.4.aE"	"Q4"
1	28	22.826803224472	"27.4.aE"	"Q4"
2	28	25.347724151559	"27.4.aE"	"Q4"
3	28	26.725726807733	"27.4.aE"	"Q4"
4	28	27.50804645752	"27.4.aE"	"Q4"
5	28	27.960465716681	"27.4.aE"	"Q4"
6	28	28.224692889622	"27.4.aE"	"Q4"
7	28	28.379861098782	"27.4.aE"	"Q4"
8	28	28.471271361594	"27.4.aE"	"Q4"
9	28	28.525219986615	"27.4.aE"	"Q4"
10	28	28.557093491674	"27.4.aE"	"Q4"
11	28	0	"27.4.aE"	"Q4"
12	28	0	"27.4.aE"	"Q4"
13	28	0	"27.4.aE"	"Q4"
14	28	0	"27.4.aE"	"Q4"
