"Age"	"Iteration"	"MeanIndividualWeight"	"Stratum"	"Quarter"
13	19	0	"27.4.aE"	"Q4"
14	19	0	"27.4.aE"	"Q4"
1	20	0.109707463273	"27.4.aE"	"Q4"
2	20	0.146621262219	"27.4.aE"	"Q4"
3	20	0.16976511631	"27.4.aE"	"Q4"
4	20	0.183881294911	"27.4.aE"	"Q4"
5	20	0.192375489191	"27.4.aE"	"Q4"
6	20	0.197449882046	"27.4.aE"	"Q4"
7	20	0.200469063449	"27.4.aE"	"Q4"
8	20	0.202261271546	"27.4.aE"	"Q4"
9	20	0.203323709968	"27.4.aE"	"Q4"
10	20	0.203953038578	"27.4.aE"	"Q4"
11	20	0	"27.4.aE"	"Q4"
12	20	0	"27.4.aE"	"Q4"
13	20	0.204676717739	"27.4.aE"	"Q4"
14	20	0	"27.4.aE"	"Q4"
1	21	0.106254642856	"27.4.aE"	"Q4"
2	21	0.142503125565	"27.4.aE"	"Q4"
3	21	0.165251239757	"27.4.aE"	"Q4"
4	21	0.179118761237	"27.4.aE"	"Q4"
5	21	0.187453074496	"27.4.aE"	"Q4"
6	21	0.192424013679	"27.4.aE"	"Q4"
7	21	0.195376339005	"27.4.aE"	"Q4"
8	21	0.197125527399	"27.4.aE"	"Q4"
9	21	0.198160427925	"27.4.aE"	"Q4"
10	21	0.198772220488	"27.4.aE"	"Q4"
11	21	0	"27.4.aE"	"Q4"
12	21	0	"27.4.aE"	"Q4"
13	21	0.199473369103	"27.4.aE"	"Q4"
14	21	0	"27.4.aE"	"Q4"
1	22	0.110368688938	"27.4.aE"	"Q4"
2	22	0.14776519285	"27.4.aE"	"Q4"
3	22	0.17159983221	"27.4.aE"	"Q4"
4	22	0.18640339698	"27.4.aE"	"Q4"
5	22	0.195480607748	"27.4.aE"	"Q4"
6	22	0.201007984222	"27.4.aE"	"Q4"
7	22	0.204360516328	"27.4.aE"	"Q4"
8	22	0.206389274875	"27.4.aE"	"Q4"
9	22	0.207615300286	"27.4.aE"	"Q4"
10	22	0.208355618198	"27.4.aE"	"Q4"
11	22	0	"27.4.aE"	"Q4"
12	22	0	"27.4.aE"	"Q4"
13	22	0.209234663583	"27.4.aE"	"Q4"
14	22	0	"27.4.aE"	"Q4"
1	23	0.0966087720989	"27.4.aE"	"Q4"
2	23	0.129624032257	"27.4.aE"	"Q4"
3	23	0.150188162143	"27.4.aE"	"Q4"
4	23	0.162613709281	"27.4.aE"	"Q4"
5	23	0.170011241332	"27.4.aE"	"Q4"
6	23	0.174380875333	"27.4.aE"	"Q4"
7	23	0.176950757292	"27.4.aE"	"Q4"
8	23	0.178458439692	"27.4.aE"	"Q4"
9	23	0.179341705018	"27.4.aE"	"Q4"
10	23	0.179858735798	"27.4.aE"	"Q4"
11	23	0	"27.4.aE"	"Q4"
12	23	0	"27.4.aE"	"Q4"
13	23	0.180441665596	"27.4.aE"	"Q4"
14	23	0	"27.4.aE"	"Q4"
1	24	0.101346123815	"27.4.aE"	"Q4"
2	24	0.136515979689	"27.4.aE"	"Q4"
3	24	0.158696416615	"27.4.aE"	"Q4"
4	24	0.172267691404	"27.4.aE"	"Q4"
5	24	0.180448782827	"27.4.aE"	"Q4"
6	24	0.18534145226	"27.4.aE"	"Q4"
7	24	0.188254506563	"27.4.aE"	"Q4"
8	24	0.189984501995	"27.4.aE"	"Q4"
9	24	0.191010387878	"27.4.aE"	"Q4"
10	24	0.191618211142	"27.4.aE"	"Q4"
11	24	0	"27.4.aE"	"Q4"
12	24	0	"27.4.aE"	"Q4"
13	24	0.192317372378	"27.4.aE"	"Q4"
14	24	0	"27.4.aE"	"Q4"
1	25	0.107991342859	"27.4.aE"	"Q4"
2	25	0.144682413159	"27.4.aE"	"Q4"
3	25	0.167767784499	"27.4.aE"	"Q4"
4	25	0.181889611565	"27.4.aE"	"Q4"
5	25	0.190409505383	"27.4.aE"	"Q4"
6	25	0.195511706206	"27.4.aE"	"Q4"
7	25	0.198554539527	"27.4.aE"	"Q4"
8	25	0.200364898368	"27.4.aE"	"Q4"
9	25	0.20144049575	"27.4.aE"	"Q4"
10	25	0.202079027081	"27.4.aE"	"Q4"
11	25	0	"27.4.aE"	"Q4"
12	25	0	"27.4.aE"	"Q4"
13	25	0.202815969261	"27.4.aE"	"Q4"
14	25	0	"27.4.aE"	"Q4"
1	26	0.103488824	"27.4.aE"	"Q4"
2	26	0.139000291098	"27.4.aE"	"Q4"
3	26	0.161524000539	"27.4.aE"	"Q4"
4	26	0.175414670336	"27.4.aE"	"Q4"
5	26	0.18386327434	"27.4.aE"	"Q4"
6	26	0.188963665915	"27.4.aE"	"Q4"
7	26	0.192029829121	"27.4.aE"	"Q4"
8	26	0.19386861941	"27.4.aE"	"Q4"
9	26	0.19496978185	"27.4.aE"	"Q4"
10	26	0.195628661053	"27.4.aE"	"Q4"
11	26	0	"27.4.aE"	"Q4"
12	26	0	"27.4.aE"	"Q4"
13	26	0	"27.4.aE"	"Q4"
14	26	0	"27.4.aE"	"Q4"
1	27	0.105222410728	"27.4.aE"	"Q4"
2	27	0.142272390051	"27.4.aE"	"Q4"
3	27	0.165439304594	"27.4.aE"	"Q4"
4	27	0.17945026704	"27.4.aE"	"Q4"
5	27	0.187787306952	"27.4.aE"	"Q4"
6	27	0.192705641058	"27.4.aE"	"Q4"
7	27	0.195593378896	"27.4.aE"	"Q4"
8	27	0.197284319213	"27.4.aE"	"Q4"
9	27	0.198272937326	"27.4.aE"	"Q4"
10	27	0.198850423763	"27.4.aE"	"Q4"
11	27	0	"27.4.aE"	"Q4"
12	27	0	"27.4.aE"	"Q4"
13	27	0	"27.4.aE"	"Q4"
14	27	0	"27.4.aE"	"Q4"
1	28	0.0936081734143	"27.4.aE"	"Q4"
2	28	0.125130317704	"27.4.aE"	"Q4"
3	28	0.144897839655	"27.4.aE"	"Q4"
4	28	0.156956424841	"27.4.aE"	"Q4"
5	28	0.164213315455	"27.4.aE"	"Q4"
6	28	0.168548965969	"27.4.aE"	"Q4"
7	28	0.171128830817	"27.4.aE"	"Q4"
8	28	0.172660381123	"27.4.aE"	"Q4"
9	28	0.173568369322	"27.4.aE"	"Q4"
10	28	0.174106250849	"27.4.aE"	"Q4"
11	28	0	"27.4.aE"	"Q4"
12	28	0	"27.4.aE"	"Q4"
13	28	0	"27.4.aE"	"Q4"
14	28	0	"27.4.aE"	"Q4"
1	29	0.102510603861	"27.4.aE"	"Q4"
2	29	0.137835539166	"27.4.aE"	"Q4"
3	29	0.160173832213	"27.4.aE"	"Q4"
4	29	0.173895669137	"27.4.aE"	"Q4"
5	29	0.182204947762	"27.4.aE"	"Q4"
6	29	0.187198159121	"27.4.aE"	"Q4"
7	29	0.190185778638	"27.4.aE"	"Q4"
8	29	0	"27.4.aE"	"Q4"
9	29	0.193031717701	"27.4.aE"	"Q4"
10	29	0.193664579192	"27.4.aE"	"Q4"
11	29	0	"27.4.aE"	"Q4"
12	29	0	"27.4.aE"	"Q4"
13	29	0	"27.4.aE"	"Q4"
14	29	0	"27.4.aE"	"Q4"
1	30	0.105564795965	"27.4.aE"	"Q4"
2	30	0.142325613494	"27.4.aE"	"Q4"
3	30	0.164963390774	"27.4.aE"	"Q4"
4	30	0.178433341914	"27.4.aE"	"Q4"
5	30	0.186316531534	"27.4.aE"	"Q4"
6	30	0.190890257009	"27.4.aE"	"Q4"
7	30	0.193531340833	"27.4.aE"	"Q4"
8	30	0	"27.4.aE"	"Q4"
9	30	0.195927114156	"27.4.aE"	"Q4"
