"CruiseKey"	"StationKey"	"HaulKey"	"SpeciesCategoryKey"	"SpeciesCategory"
"NA/19/2020/9000/30"	"89"	"38089"	"makrell/172414/127023/Scomber scombrus"	"makrell/172414/127023/Scomber scombrus"
"NA/19/2020/9000/30"	"90"	"38090"	"makrell/172414/127023/Scomber scombrus"	"makrell/172414/127023/Scomber scombrus"
"NA/19/2020/9000/30"	"91"	"38091"	"sild'G05/161722.G05/126417/Clupea harengus"	"sild'G05/161722.G05/126417/Clupea harengus"
"NA/19/2020/9000/30"	"91"	"38091"	"makrell/172414/127023/Scomber scombrus"	"makrell/172414/127023/Scomber scombrus"
"NA/19/2021/10011/30"	"21"	"38021"	"makrell/172414/127023/Scomber scombrus"	"makrell/172414/127023/Scomber scombrus"
"NA/19/2021/10011/30"	"22"	"38022"	"makrell/172414/127023/Scomber scombrus"	"makrell/172414/127023/Scomber scombrus"
"NA/19/2021/10011/30"	"23"	"38023"	"makrell/172414/127023/Scomber scombrus"	"makrell/172414/127023/Scomber scombrus"
"NA/19/2021/10011/30"	"24"	"38024"	"makrell/172414/127023/Scomber scombrus"	"makrell/172414/127023/Scomber scombrus"
"NA/19/2021/10011/30"	"25"	"38025"	"makrell/172414/127023/Scomber scombrus"	"makrell/172414/127023/Scomber scombrus"
"NA/19/2021/10011/30"	"26"	"38026"	"makrell/172414/127023/Scomber scombrus"	"makrell/172414/127023/Scomber scombrus"
"NA/19/2021/10011/30"	"27"	"38027"	"makrell/172414/127023/Scomber scombrus"	"makrell/172414/127023/Scomber scombrus"
"NA/19/2021/10011/30"	"28"	"38028"	"makrell/172414/127023/Scomber scombrus"	"makrell/172414/127023/Scomber scombrus"
"NA/19/2021/10011/30"	"29"	"38029"	"makrell/172414/127023/Scomber scombrus"	"makrell/172414/127023/Scomber scombrus"
"NA/19/2021/10011/30"	"30"	"38030"	"makrell/172414/127023/Scomber scombrus"	"makrell/172414/127023/Scomber scombrus"
"NA/19/2021/10011/30"	"31"	"38031"	"makrell/172414/127023/Scomber scombrus"	"makrell/172414/127023/Scomber scombrus"
"NA/19/2021/10011/30"	"32"	"38032"	"makrell/172414/127023/Scomber scombrus"	"makrell/172414/127023/Scomber scombrus"
"NA/19/2021/10011/30"	"33"	"38033"	"makrell/172414/127023/Scomber scombrus"	"makrell/172414/127023/Scomber scombrus"
"NA/19/2021/10011/30"	"34"	"38034"	"makrell/172414/127023/Scomber scombrus"	"makrell/172414/127023/Scomber scombrus"
"NA/19/2021/10011/30"	"35"	"38035"	"makrell/172414/127023/Scomber scombrus"	"makrell/172414/127023/Scomber scombrus"
"NA/19/2021/10011/30"	"36"	"38036"	"makrell/172414/127023/Scomber scombrus"	"makrell/172414/127023/Scomber scombrus"
"NA/19/2021/10011/30"	"37"	"38037"	"makrell/172414/127023/Scomber scombrus"	"makrell/172414/127023/Scomber scombrus"
"NA/19/2021/10011/30"	"38"	"38038"	"makrell/172414/127023/Scomber scombrus"	"makrell/172414/127023/Scomber scombrus"
"NA/19/2021/10011/30"	"39"	"38039"	"makrell/172414/127023/Scomber scombrus"	"makrell/172414/127023/Scomber scombrus"
"NA/19/2021/10011/30"	"40"	"38040"	"makrell/172414/127023/Scomber scombrus"	"makrell/172414/127023/Scomber scombrus"
"NA/19/2021/10011/30"	"41"	"38041"	"makrell/172414/127023/Scomber scombrus"	"makrell/172414/127023/Scomber scombrus"
"NA/19/2021/10011/30"	"42"	"38042"	"makrell/172414/127023/Scomber scombrus"	"makrell/172414/127023/Scomber scombrus"
"NA/19/2021/10011/30"	"43"	"38043"	"makrell/172414/127023/Scomber scombrus"	"makrell/172414/127023/Scomber scombrus"
"NA/19/2021/10011/30"	"44"	"38044"	"makrell/172414/127023/Scomber scombrus"	"makrell/172414/127023/Scomber scombrus"
"NA/19/2021/10011/30"	"45"	"38045"	"makrell/172414/127023/Scomber scombrus"	"makrell/172414/127023/Scomber scombrus"
"NA/19/2021/10011/30"	"46"	"38046"	"makrell/172414/127023/Scomber scombrus"	"makrell/172414/127023/Scomber scombrus"
"NA/19/2021/10011/30"	"47"	"38047"	"makrell/172414/127023/Scomber scombrus"	"makrell/172414/127023/Scomber scombrus"
"NA/19/2021/10011/30"	"48"	"38048"	"makrell/172414/127023/Scomber scombrus"	"makrell/172414/127023/Scomber scombrus"
"NA/19/2021/10011/30"	"49"	"38049"	"makrell/172414/127023/Scomber scombrus"	"makrell/172414/127023/Scomber scombrus"
"NA/19/2021/10011/30"	"50"	"38050"	"makrell/172414/127023/Scomber scombrus"	"makrell/172414/127023/Scomber scombrus"
"NA/19/2021/10011/30"	"51"	"38051"	"makrell/172414/127023/Scomber scombrus"	"makrell/172414/127023/Scomber scombrus"
"NA/19/2021/10011/30"	"52"	"38052"	"makrell/172414/127023/Scomber scombrus"	"makrell/172414/127023/Scomber scombrus"
"NA/19/2021/10011/30"	"53"	"38053"	"makrell/172414/127023/Scomber scombrus"	"makrell/172414/127023/Scomber scombrus"
"NA/19/2021/10011/30"	"54"	"38054"	"makrell/172414/127023/Scomber scombrus"	"makrell/172414/127023/Scomber scombrus"
"NA/19/2021/10011/30"	"55"	"38055"	"makrell/172414/127023/Scomber scombrus"	"makrell/172414/127023/Scomber scombrus"
"NA/19/2021/10011/30"	"56"	"38056"	"makrell/172414/127023/Scomber scombrus"	"makrell/172414/127023/Scomber scombrus"
"NA/19/2021/10011/30"	"57"	"38057"	"makrell/172414/127023/Scomber scombrus"	"makrell/172414/127023/Scomber scombrus"
"NA/19/2021/10011/30"	"58"	"38058"	"makrell/172414/127023/Scomber scombrus"	"makrell/172414/127023/Scomber scombrus"
"NA/19/2021/10011/30"	"59"	"38059"	"makrell/172414/127023/Scomber scombrus"	"makrell/172414/127023/Scomber scombrus"
"NA/19/2021/10011/30"	"60"	"38060"	"makrell/172414/127023/Scomber scombrus"	"makrell/172414/127023/Scomber scombrus"
"NA/19/2021/10011/30"	"61"	"38061"	"makrell/172414/127023/Scomber scombrus"	"makrell/172414/127023/Scomber scombrus"
"NA/19/2021/10011/30"	"62"	"38062"	"makrell/172414/127023/Scomber scombrus"	"makrell/172414/127023/Scomber scombrus"
"NA/19/2021/10011/30"	"63"	"38063"	"makrell/172414/127023/Scomber scombrus"	"makrell/172414/127023/Scomber scombrus"
"NA/19/2021/10011/30"	"64"	"38064"	"makrell/172414/127023/Scomber scombrus"	"makrell/172414/127023/Scomber scombrus"
"NA/19/2021/10011/30"	"65"	"38065"	"makrell/172414/127023/Scomber scombrus"	"makrell/172414/127023/Scomber scombrus"
"NA/19/2021/10011/30"	"66"	"38066"	"makrell/172414/127023/Scomber scombrus"	"makrell/172414/127023/Scomber scombrus"
"NA/19/2021/10011/30"	"67"	"38067"	"makrell/172414/127023/Scomber scombrus"	"makrell/172414/127023/Scomber scombrus"
"NA/19/2021/10011/30"	"68"	"38068"	"makrell/172414/127023/Scomber scombrus"	"makrell/172414/127023/Scomber scombrus"
"NA/19/2021/10011/30"	"69"	"38069"	"makrell/172414/127023/Scomber scombrus"	"makrell/172414/127023/Scomber scombrus"
"NA/19/2021/10011/30"	"70"	"38070"	"makrell/172414/127023/Scomber scombrus"	"makrell/172414/127023/Scomber scombrus"
"NA/19/2021/10011/30"	"71"	"38071"	"makrell/172414/127023/Scomber scombrus"	"makrell/172414/127023/Scomber scombrus"
"NA/19/2021/10011/30"	"72"	"38072"	"makrell/172414/127023/Scomber scombrus"	"makrell/172414/127023/Scomber scombrus"
"NA/19/2021/10011/30"	"73"	"38073"	"makrell/172414/127023/Scomber scombrus"	"makrell/172414/127023/Scomber scombrus"
"NA/19/2021/10011/30"	"74"	"38074"	"makrell/172414/127023/Scomber scombrus"	"makrell/172414/127023/Scomber scombrus"
"NA/19/2021/10011/30"	"75"	"38075"	"makrell/172414/127023/Scomber scombrus"	"makrell/172414/127023/Scomber scombrus"
"NA/19/2021/10011/30"	"76"	"38076"	"makrell/172414/127023/Scomber scombrus"	"makrell/172414/127023/Scomber scombrus"
"NA/19/2021/10011/30"	"77"	"38077"	"makrell/172414/127023/Scomber scombrus"	"makrell/172414/127023/Scomber scombrus"
"NA/19/2021/10011/30"	"78"	"38078"	"makrell/172414/127023/Scomber scombrus"	"makrell/172414/127023/Scomber scombrus"
"NA/19/2021/10011/30"	"79"	"38079"	"makrell/172414/127023/Scomber scombrus"	"makrell/172414/127023/Scomber scombrus"
"NA/19/2021/10011/30"	"80"	"38080"	"makrell/172414/127023/Scomber scombrus"	"makrell/172414/127023/Scomber scombrus"
