"CruiseKey"	"StationKey"	"HaulKey"	"Haul"	"Gear"	"TowDistance"	"EffectiveTowDistance"	"MinHaulDepth"	"MaxHaulDepth"	"VerticalNetOpening"	"HorizontalNetOpening"	"TrawlDoorSpread"
"NA/19/2021/10011/30"	"61"	"38061"	"NA/19/2021/10011/30-61-38061"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2021/10011/30"	"62"	"38062"	"NA/19/2021/10011/30-62-38062"	"3500"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2021/10011/30"	"63"	"38063"	"NA/19/2021/10011/30-63-38063"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2021/10011/30"	"64"	"38064"	"NA/19/2021/10011/30-64-38064"	"3500"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2021/10011/30"	"65"	"38065"	"NA/19/2021/10011/30-65-38065"	"3500"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2021/10011/30"	"66"	"38066"	"NA/19/2021/10011/30-66-38066"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2021/10011/30"	"67"	"38067"	"NA/19/2021/10011/30-67-38067"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2021/10011/30"	"68"	"38068"	"NA/19/2021/10011/30-68-38068"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2021/10011/30"	"69"	"38069"	"NA/19/2021/10011/30-69-38069"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2021/10011/30"	"70"	"38070"	"NA/19/2021/10011/30-70-38070"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2021/10011/30"	"71"	"38071"	"NA/19/2021/10011/30-71-38071"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2021/10011/30"	"72"	"38072"	"NA/19/2021/10011/30-72-38072"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2021/10011/30"	"73"	"38073"	"NA/19/2021/10011/30-73-38073"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2021/10011/30"	"74"	"38074"	"NA/19/2021/10011/30-74-38074"	"3500"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2021/10011/30"	"75"	"38075"	"NA/19/2021/10011/30-75-38075"	"3500"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2021/10011/30"	"76"	"38076"	"NA/19/2021/10011/30-76-38076"	"3500"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2021/10011/30"	"77"	"38077"	"NA/19/2021/10011/30-77-38077"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2021/10011/30"	"78"	"38078"	"NA/19/2021/10011/30-78-38078"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2021/10011/30"	"79"	"38079"	"NA/19/2021/10011/30-79-38079"	"3500"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2021/10011/30"	"80"	"38080"	"NA/19/2021/10011/30-80-38080"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2021/10011/30"	"81"	"38081"	"NA/19/2021/10011/30-81-38081"	"3100"	NA	NA	NA	NA	NA	NA	NA
