"CatchDate"	"Stratum"	"LandedRoundWeight"
2023-07-01T22:00:00Z	"27.4.aE"	531029
2023-07-02T22:00:00Z	"27.4.aE"	635567
2023-07-03T22:00:00Z	"27.4.aE"	2044368
2023-07-04T22:00:00Z	"27.4.aE"	743049
2023-07-05T22:00:00Z	"27.4.aE"	282238
2023-07-07T22:00:00Z	"27.4.aE"	477414
2023-07-08T22:00:00Z	"27.4.aE"	1104
2023-07-09T22:00:00Z	"27.4.aE"	1885390
2023-07-10T22:00:00Z	"27.4.aE"	19911
2023-07-11T22:00:00Z	"27.4.aE"	2887
2023-07-14T22:00:00Z	"27.4.aE"	33733
2023-07-16T22:00:00Z	"27.4.aE"	4589
2023-07-18T22:00:00Z	"27.4.aE"	71261
2023-07-22T22:00:00Z	"27.4.aE"	7270
2023-07-24T22:00:00Z	"27.4.aE"	30881
2023-07-26T22:00:00Z	"27.4.aE"	5
2023-07-29T22:00:00Z	"27.4.aE"	528192
2023-07-30T22:00:00Z	"27.4.aE"	859836
2023-07-31T22:00:00Z	"27.4.aE"	31348
2023-08-01T22:00:00Z	"27.4.aE"	1087255
2023-08-02T22:00:00Z	"27.4.aE"	1093124
2023-08-03T22:00:00Z	"27.4.aE"	2433476
2023-08-04T22:00:00Z	"27.4.aE"	1624232
2023-08-05T22:00:00Z	"27.4.aE"	2060191
2023-08-06T22:00:00Z	"27.4.aE"	987252
2023-08-07T22:00:00Z	"27.4.aE"	29000
2023-08-09T22:00:00Z	"27.4.aE"	62027
2023-08-10T22:00:00Z	"27.4.aE"	97450
2023-08-11T22:00:00Z	"27.4.aE"	1232523
2023-08-12T22:00:00Z	"27.4.aE"	2295593
2023-08-13T22:00:00Z	"27.4.aE"	1207603
2023-08-14T22:00:00Z	"27.4.aE"	1417041
2023-08-15T22:00:00Z	"27.4.aE"	290497
2023-08-16T22:00:00Z	"27.4.aE"	400904
2023-08-17T22:00:00Z	"27.4.aE"	582570
2023-08-18T22:00:00Z	"27.4.aE"	160233
2023-08-19T22:00:00Z	"27.4.aE"	683
2023-08-20T22:00:00Z	"27.4.aE"	362177
2023-08-21T22:00:00Z	"27.4.aE"	427963
2023-08-22T22:00:00Z	"27.4.aE"	67275
2023-08-23T22:00:00Z	"27.4.aE"	224354
2023-08-24T22:00:00Z	"27.4.aE"	34
2023-08-25T22:00:00Z	"27.4.aE"	165673
2023-08-26T22:00:00Z	"27.4.aE"	21484
2023-08-27T22:00:00Z	"27.4.aE"	31299
2023-08-28T22:00:00Z	"27.4.aE"	97730
2023-08-29T22:00:00Z	"27.4.aE"	1431
2023-08-30T22:00:00Z	"27.4.aE"	272111
2023-09-01T22:00:00Z	"27.4.aE"	68572
2023-09-02T22:00:00Z	"27.4.aE"	20611
