"Age"	"Iteration"	"MeanIndividualLength"	"Stratum"	"Quarter"
10	14	29.800444101631	"27.4.aE"	"Q4"
11	14	29.814152062032	"27.4.aE"	"Q4"
12	14	29.821913202459	"27.4.aE"	"Q4"
13	14	0	"27.4.aE"	"Q4"
14	14	29.828796798549	"27.4.aE"	"Q4"
15	14	0	"27.4.aE"	"Q4"
1	15	23.675472059251	"27.4.aE"	"Q4"
2	15	26.240750896627	"27.4.aE"	"Q4"
3	15	27.625176778167	"27.4.aE"	"Q4"
4	15	28.400702550513	"27.4.aE"	"Q4"
5	15	28.843038144177	"27.4.aE"	"Q4"
6	15	29.097744721348	"27.4.aE"	"Q4"
7	15	29.245182351234	"27.4.aE"	"Q4"
8	15	29.330780554207	"27.4.aE"	"Q4"
9	15	29.380560965609	"27.4.aE"	"Q4"
10	15	29.409539592485	"27.4.aE"	"Q4"
11	15	29.426418473954	"27.4.aE"	"Q4"
12	15	29.436252984152	"27.4.aE"	"Q4"
13	15	0	"27.4.aE"	"Q4"
14	15	29.445324482362	"27.4.aE"	"Q4"
15	15	0	"27.4.aE"	"Q4"
1	16	23.365979515021	"27.4.aE"	"Q4"
2	16	25.977419829784	"27.4.aE"	"Q4"
3	16	27.380284525786	"27.4.aE"	"Q4"
4	16	28.16106979412	"27.4.aE"	"Q4"
5	16	28.60309269639	"27.4.aE"	"Q4"
6	16	28.855579067725	"27.4.aE"	"Q4"
7	16	29.000508465096	"27.4.aE"	"Q4"
8	16	29.083927786779	"27.4.aE"	"Q4"
9	16	29.132017655287	"27.4.aE"	"Q4"
10	16	29.159765400256	"27.4.aE"	"Q4"
11	16	29.175783987593	"27.4.aE"	"Q4"
12	16	29.185034138249	"27.4.aE"	"Q4"
13	16	0	"27.4.aE"	"Q4"
14	16	29.193462617573	"27.4.aE"	"Q4"
15	16	0	"27.4.aE"	"Q4"
1	17	23.618299837317	"27.4.aE"	"Q4"
2	17	26.185137324587	"27.4.aE"	"Q4"
3	17	27.574914654085	"27.4.aE"	"Q4"
4	17	28.356149694235	"27.4.aE"	"Q4"
5	17	28.803361959788	"27.4.aE"	"Q4"
6	17	29.061840839187	"27.4.aE"	"Q4"
7	17	29.212033721234	"27.4.aE"	"Q4"
8	17	29.299569349413	"27.4.aE"	"Q4"
9	17	29.350675572255	"27.4.aE"	"Q4"
10	17	29.380543080251	"27.4.aE"	"Q4"
11	17	29.398008456318	"27.4.aE"	"Q4"
12	17	29.408225020381	"27.4.aE"	"Q4"
13	17	0	"27.4.aE"	"Q4"
14	17	29.417700197177	"27.4.aE"	"Q4"
15	17	0	"27.4.aE"	"Q4"
1	18	23.441853697159	"27.4.aE"	"Q4"
2	18	26.021302220797	"27.4.aE"	"Q4"
3	18	27.428894680816	"27.4.aE"	"Q4"
4	18	28.226627614347	"27.4.aE"	"Q4"
5	18	28.687144398975	"27.4.aE"	"Q4"
6	18	28.955616490728	"27.4.aE"	"Q4"
7	18	29.112989584544	"27.4.aE"	"Q4"
8	18	29.205527596522	"27.4.aE"	"Q4"
9	18	29.260040177471	"27.4.aE"	"Q4"
10	18	29.292186614471	"27.4.aE"	"Q4"
11	18	29.31115535698	"27.4.aE"	"Q4"
12	18	29.32235238697	"27.4.aE"	"Q4"
13	18	0	"27.4.aE"	"Q4"
14	18	29.33286696048	"27.4.aE"	"Q4"
15	18	0	"27.4.aE"	"Q4"
1	19	23.206377621841	"27.4.aE"	"Q4"
2	19	25.766003514765	"27.4.aE"	"Q4"
3	19	27.163210093243	"27.4.aE"	"Q4"
4	19	27.95524606684	"27.4.aE"	"Q4"
5	19	28.412568638862	"27.4.aE"	"Q4"
6	19	28.679229471806	"27.4.aE"	"Q4"
7	19	28.835569423206	"27.4.aE"	"Q4"
8	19	28.927516358454	"27.4.aE"	"Q4"
9	19	28.981690310516	"27.4.aE"	"Q4"
10	19	29.013642662868	"27.4.aE"	"Q4"
11	19	29.032500180582	"27.4.aE"	"Q4"
12	19	29.043633500996	"27.4.aE"	"Q4"
13	19	0	"27.4.aE"	"Q4"
14	19	29.05409075158	"27.4.aE"	"Q4"
15	19	0	"27.4.aE"	"Q4"
1	20	22.771096100779	"27.4.aE"	"Q4"
2	20	25.262970584509	"27.4.aE"	"Q4"
3	20	26.62462220996	"27.4.aE"	"Q4"
4	20	27.397668538525	"27.4.aE"	"Q4"
5	20	27.844810849807	"27.4.aE"	"Q4"
6	20	28.106032066497	"27.4.aE"	"Q4"
7	20	28.259488373109	"27.4.aE"	"Q4"
8	20	28.349924640407	"27.4.aE"	"Q4"
9	20	28.403319880096	"27.4.aE"	"Q4"
10	20	28.434879503715	"27.4.aE"	"Q4"
11	20	0	"27.4.aE"	"Q4"
12	20	28.464588351017	"27.4.aE"	"Q4"
13	20	0	"27.4.aE"	"Q4"
14	20	28.474991737018	"27.4.aE"	"Q4"
15	20	0	"27.4.aE"	"Q4"
1	21	23.651072436979	"27.4.aE"	"Q4"
2	21	26.14113211286	"27.4.aE"	"Q4"
3	21	27.497723550146	"27.4.aE"	"Q4"
4	21	28.266606254027	"27.4.aE"	"Q4"
5	21	28.710877898741	"27.4.aE"	"Q4"
6	21	28.970239778735	"27.4.aE"	"Q4"
7	21	29.122525294623	"27.4.aE"	"Q4"
8	21	29.212234878666	"27.4.aE"	"Q4"
9	21	29.265182655415	"27.4.aE"	"Q4"
10	21	29.296468035527	"27.4.aE"	"Q4"
11	21	0	"27.4.aE"	"Q4"
12	21	29.325907085756	"27.4.aE"	"Q4"
