"Parameter"	"Mean"	"Variance"	"chainId"
"ProportionAtAgeModel-Quarter:Q2:Age:1 tau_Intercept"	1.809564404788	0.636996906381	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-Quarter:Q3:Age:1 tau_Intercept"	1.809564404788	0.636996906381	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-Quarter:Q4:Age:1 tau_Intercept"	1.809564404788	0.636996906381	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-Quarter:Q1:Age:1 tau_Intercept"	1.809564404788	0.636996906381	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-Quarter:Q2:Age:2 tau_Intercept"	1.809564404788	0.636996906381	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-Quarter:Q3:Age:2 tau_Intercept"	1.809564404788	0.636996906381	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-Quarter:Q4:Age:2 tau_Intercept"	1.809564404788	0.636996906381	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-Quarter:Q1:Age:2 tau_Intercept"	1.809564404788	0.636996906381	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-Quarter:Q2:Age:3 tau_Intercept"	1.809564404788	0.636996906381	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-Quarter:Q3:Age:3 tau_Intercept"	1.809564404788	0.636996906381	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-Quarter:Q4:Age:3 tau_Intercept"	1.809564404788	0.636996906381	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-Quarter:Q1:Age:3 tau_Intercept"	1.809564404788	0.636996906381	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-Quarter:Q2:Age:4 tau_Intercept"	1.809564404788	0.636996906381	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-Quarter:Q3:Age:4 tau_Intercept"	1.809564404788	0.636996906381	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-Quarter:Q4:Age:4 tau_Intercept"	1.809564404788	0.636996906381	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-Quarter:Q1:Age:4 tau_Intercept"	1.809564404788	0.636996906381	"C:\Users\Administrator\Documents\temp\ecatest"
