"Age"	"Iteration"	"MeanIndividualLength"	"Stratum"	"Quarter"
11	13	30.995740891534	"27.4.aE"	"Q4"
12	13	31.294044437813	"27.4.aE"	"Q4"
13	13	31.572649717588	"27.4.aE"	"Q4"
14	13	31.834141287309	"27.4.aE"	"Q4"
15	13	32.080617993086	"27.4.aE"	"Q4"
1	14	25.405879578753	"27.4.aE"	"Q4"
2	14	26.673936370699	"27.4.aE"	"Q4"
3	14	27.601936998588	"27.4.aE"	"Q4"
4	14	28.339736409546	"27.4.aE"	"Q4"
5	14	28.954999649916	"27.4.aE"	"Q4"
6	14	29.484324290927	"27.4.aE"	"Q4"
7	14	29.949840420151	"27.4.aE"	"Q4"
8	14	30.365993350434	"27.4.aE"	"Q4"
9	14	30.742754659968	"27.4.aE"	"Q4"
10	14	31.087308641889	"27.4.aE"	"Q4"
11	14	31.405009540989	"27.4.aE"	"Q4"
12	14	31.699958759215	"27.4.aE"	"Q4"
13	14	31.975370219449	"27.4.aE"	"Q4"
14	14	32.233811047396	"27.4.aE"	"Q4"
15	14	32.477365502572	"27.4.aE"	"Q4"
1	15	23.966209993903	"27.4.aE"	"Q4"
2	15	25.187436397302	"27.4.aE"	"Q4"
3	15	26.081919803721	"27.4.aE"	"Q4"
4	15	26.793510808714	"27.4.aE"	"Q4"
5	15	27.387208062445	"27.4.aE"	"Q4"
6	15	27.898185310434	"27.4.aE"	"Q4"
7	15	28.347720651048	"27.4.aE"	"Q4"
8	15	28.749708207228	"27.4.aE"	"Q4"
9	15	29.113742025345	"27.4.aE"	"Q4"
10	15	29.446736273639	"27.4.aE"	"Q4"
11	15	29.753845133957	"27.4.aE"	"Q4"
12	15	30.0390176276	"27.4.aE"	"Q4"
13	15	30.305348892328	"27.4.aE"	"Q4"
14	15	30.55531163217	"27.4.aE"	"Q4"
15	15	0	"27.4.aE"	"Q4"
1	16	24.39182431433	"27.4.aE"	"Q4"
2	16	25.653169698741	"27.4.aE"	"Q4"
3	16	26.577602023501	"27.4.aE"	"Q4"
4	16	27.313346715664	"27.4.aE"	"Q4"
5	16	27.927412571486	"27.4.aE"	"Q4"
6	16	28.456074787634	"27.4.aE"	"Q4"
7	16	28.921284475495	"27.4.aE"	"Q4"
8	16	29.337378907731	"27.4.aE"	"Q4"
9	16	29.714260334776	"27.4.aE"	"Q4"
10	16	30.059066440967	"27.4.aE"	"Q4"
11	16	30.377118964336	"27.4.aE"	"Q4"
12	16	30.672495953233	"27.4.aE"	"Q4"
13	16	30.948394138421	"27.4.aE"	"Q4"
14	16	31.207367728675	"27.4.aE"	"Q4"
15	16	31.451491109866	"27.4.aE"	"Q4"
1	17	24.407135383238	"27.4.aE"	"Q4"
2	17	25.651318561336	"27.4.aE"	"Q4"
3	17	26.562631330629	"27.4.aE"	"Q4"
4	17	27.287619229558	"27.4.aE"	"Q4"
5	17	27.892499488825	"27.4.aE"	"Q4"
6	17	28.413105641811	"27.4.aE"	"Q4"
7	17	28.871115096134	"27.4.aE"	"Q4"
8	17	29.280682811302	"27.4.aE"	"Q4"
9	17	29.651583001943	"27.4.aE"	"Q4"
10	17	29.990859715346	"27.4.aE"	"Q4"
11	17	30.303763976465	"27.4.aE"	"Q4"
12	17	30.594319022653	"27.4.aE"	"Q4"
13	17	30.865678172402	"27.4.aE"	"Q4"
14	17	31.120360619249	"27.4.aE"	"Q4"
15	17	0	"27.4.aE"	"Q4"
1	18	24.214132548707	"27.4.aE"	"Q4"
2	18	25.438185362395	"27.4.aE"	"Q4"
3	18	26.33444563148	"27.4.aE"	"Q4"
4	18	27.047279533494	"27.4.aE"	"Q4"
5	18	27.641901251498	"27.4.aE"	"Q4"
6	18	28.153594033559	"27.4.aE"	"Q4"
7	18	28.60369872769	"27.4.aE"	"Q4"
8	18	29.006148508899	"27.4.aE"	"Q4"
9	18	29.37056324087	"27.4.aE"	"Q4"
10	18	29.70387496746	"27.4.aE"	"Q4"
11	18	30.011250708712	"27.4.aE"	"Q4"
12	18	30.296648984297	"27.4.aE"	"Q4"
13	18	30.563172134493	"27.4.aE"	"Q4"
14	18	30.813298439372	"27.4.aE"	"Q4"
15	18	31.04904023589	"27.4.aE"	"Q4"
1	19	25.053361085548	"27.4.aE"	"Q4"
2	19	26.342858406709	"27.4.aE"	"Q4"
3	19	27.287738668045	"27.4.aE"	"Q4"
4	19	28.039650260226	"27.4.aE"	"Q4"
5	19	28.667138482918	"27.4.aE"	"Q4"
6	19	29.207305845223	"27.4.aE"	"Q4"
7	19	29.682601896096	"27.4.aE"	"Q4"
8	19	30.107688254135	"27.4.aE"	"Q4"
9	19	30.492690462999	"27.4.aE"	"Q4"
10	19	30.844906701429	"27.4.aE"	"Q4"
11	19	31.169778063354	"27.4.aE"	"Q4"
12	19	31.471473847235	"27.4.aE"	"Q4"
13	19	31.753262161549	"27.4.aE"	"Q4"
14	19	32.017754134437	"27.4.aE"	"Q4"
15	19	32.267070294283	"27.4.aE"	"Q4"
1	20	25.172508780975	"27.4.aE"	"Q4"
2	20	26.467783572983	"27.4.aE"	"Q4"
3	20	27.416886471964	"27.4.aE"	"Q4"
4	20	28.172152039155	"27.4.aE"	"Q4"
5	20	28.802435083892	"27.4.aE"	"Q4"
6	20	29.345005385901	"27.4.aE"	"Q4"
7	20	29.822413575818	"27.4.aE"	"Q4"
8	20	30.249387217168	"27.4.aE"	"Q4"
9	20	30.636097353947	"27.4.aE"	"Q4"
10	20	30.989874933254	"27.4.aE"	"Q4"
11	20	31.316185461253	"27.4.aE"	"Q4"
12	20	31.619216930099	"27.4.aE"	"Q4"
13	20	31.902252092431	"27.4.aE"	"Q4"
14	20	32.167913770108	"27.4.aE"	"Q4"
15	20	32.418331983187	"27.4.aE"	"Q4"
1	21	25.374847731674	"27.4.aE"	"Q4"
2	21	26.672718686226	"27.4.aE"	"Q4"
3	21	27.623487401588	"27.4.aE"	"Q4"
4	21	28.37994092739	"27.4.aE"	"Q4"
