"Age"	"Iteration"	"MeanIndividualLength"	"Stratum"
8	16	28.113617944032	"27.4.aE"
9	16	28.486512141611	"27.4.aE"
10	16	29.18025592043	"27.4.aE"
11	16	29.301735395026	"27.4.aE"
12	16	29.294326398243	"27.4.aE"
13	16	30.593959531106	"27.4.aE"
14	16	30.858733580024	"27.4.aE"
15	16	31.040304912547	"27.4.aE"
1	17	22.725057647947	"27.4.aE"
2	17	23.591019282794	"27.4.aE"
3	17	24.876520341503	"27.4.aE"
4	17	26.025864171365	"27.4.aE"
5	17	26.402420620846	"27.4.aE"
6	17	26.680502736616	"27.4.aE"
7	17	27.388159785102	"27.4.aE"
8	17	27.734315173249	"27.4.aE"
9	17	28.347003038267	"27.4.aE"
10	17	28.835781049314	"27.4.aE"
11	17	29.504935556906	"27.4.aE"
12	17	29.597299695271	"27.4.aE"
13	17	30.137992294792	"27.4.aE"
14	17	30.386816977608	"27.4.aE"
15	17	30.424539454514	"27.4.aE"
1	18	22.443413769622	"27.4.aE"
2	18	23.698428220891	"27.4.aE"
3	18	25.057332007727	"27.4.aE"
4	18	26.09862619089	"27.4.aE"
5	18	26.666919223942	"27.4.aE"
6	18	26.996478962434	"27.4.aE"
7	18	27.487758964538	"27.4.aE"
8	18	27.710054731689	"27.4.aE"
9	18	28.456553436396	"27.4.aE"
10	18	29.058056997292	"27.4.aE"
11	18	29.798072406849	"27.4.aE"
12	18	29.604349193342	"27.4.aE"
13	18	30.588210604199	"27.4.aE"
14	18	30.841952304377	"27.4.aE"
15	18	31.004602307291	"27.4.aE"
1	19	22.919035639466	"27.4.aE"
2	19	23.797002863567	"27.4.aE"
3	19	25.167774301204	"27.4.aE"
4	19	26.381485170256	"27.4.aE"
5	19	26.578959550406	"27.4.aE"
6	19	27.035838016139	"27.4.aE"
7	19	27.901839655114	"27.4.aE"
8	19	28.669977851849	"27.4.aE"
9	19	29.254889160035	"27.4.aE"
10	19	29.563451812336	"27.4.aE"
11	19	30.338781273202	"27.4.aE"
12	19	29.823793889671	"27.4.aE"
13	19	31.161042995726	"27.4.aE"
14	19	31.428221544337	"27.4.aE"
15	19	30.852338813501	"27.4.aE"
1	20	22.541873371534	"27.4.aE"
2	20	23.692585561932	"27.4.aE"
3	20	25.124392569788	"27.4.aE"
4	20	26.258580979258	"27.4.aE"
5	20	26.476724209475	"27.4.aE"
6	20	26.945373559307	"27.4.aE"
7	20	27.960706745324	"27.4.aE"
8	20	28.293225440514	"27.4.aE"
9	20	28.646424574366	"27.4.aE"
10	20	29.065272993035	"27.4.aE"
11	20	30.05767064122	"27.4.aE"
12	20	29.693737637119	"27.4.aE"
13	20	30.696213490251	"27.4.aE"
14	20	30.958145262074	"27.4.aE"
15	20	31.486253405475	"27.4.aE"
1	21	23.198047458923	"27.4.aE"
2	21	23.79284145178	"27.4.aE"
3	21	25.188478188509	"27.4.aE"
4	21	26.472101001711	"27.4.aE"
5	21	26.838874642546	"27.4.aE"
6	21	27.20643383941	"27.4.aE"
7	21	27.889265464344	"27.4.aE"
8	21	28.295082685945	"27.4.aE"
9	21	28.672082490575	"27.4.aE"
10	21	29.564456993465	"27.4.aE"
11	21	29.816019799623	"27.4.aE"
12	21	30.822094917306	"27.4.aE"
13	21	31.180406771915	"27.4.aE"
14	21	31.44185825858	"27.4.aE"
15	21	31.096685993183	"27.4.aE"
1	22	22.422491719732	"27.4.aE"
2	22	24.054323002995	"27.4.aE"
3	22	25.139541437288	"27.4.aE"
4	22	26.191500251953	"27.4.aE"
5	22	26.423765123331	"27.4.aE"
6	22	27.189085970016	"27.4.aE"
7	22	27.64204137438	"27.4.aE"
8	22	28.15390715739	"27.4.aE"
9	22	28.801099087026	"27.4.aE"
10	22	29.318191920754	"27.4.aE"
11	22	29.74907727447	"27.4.aE"
12	22	30.530491014034	"27.4.aE"
13	22	30.683020567419	"27.4.aE"
14	22	31.102933332637	"27.4.aE"
15	22	29.932520679834	"27.4.aE"
1	23	22.610098275447	"27.4.aE"
2	23	23.826746875684	"27.4.aE"
3	23	25.112517559809	"27.4.aE"
4	23	26.050555928367	"27.4.aE"
5	23	26.706301510352	"27.4.aE"
6	23	27.030459515657	"27.4.aE"
7	23	27.495587871356	"27.4.aE"
8	23	28.213804554765	"27.4.aE"
9	23	28.710712053636	"27.4.aE"
10	23	29.477351728643	"27.4.aE"
11	23	29.551028425799	"27.4.aE"
12	23	30.161821725553	"27.4.aE"
13	23	30.698635085743	"27.4.aE"
14	23	31.049527259632	"27.4.aE"
15	23	30.279369503351	"27.4.aE"
1	24	22.185931987923	"27.4.aE"
2	24	23.498224983633	"27.4.aE"
3	24	24.709197199532	"27.4.aE"
4	24	25.802477725725	"27.4.aE"
5	24	26.40336472071	"27.4.aE"
6	24	26.693578902048	"27.4.aE"
7	24	27.341955330731	"27.4.aE"
8	24	27.733263961239	"27.4.aE"
9	24	28.261515196807	"27.4.aE"
10	24	28.725541702616	"27.4.aE"
11	24	29.127788142074	"27.4.aE"
12	24	29.605938037526	"27.4.aE"
13	24	29.971924382047	"27.4.aE"
14	24	30.310935568449	"27.4.aE"
15	24	30.388934615918	"27.4.aE"
1	25	22.400756625016	"27.4.aE"
2	25	23.530736877881	"27.4.aE"
3	25	24.850832828099	"27.4.aE"
4	25	26.002159916718	"27.4.aE"
5	25	26.408502635399	"27.4.aE"
6	25	27.0709718477	"27.4.aE"
7	25	27.815399421973	"27.4.aE"
8	25	27.963194851761	"27.4.aE"
9	25	28.687876009551	"27.4.aE"
10	25	29.280352180928	"27.4.aE"
11	25	29.159508253583	"27.4.aE"
12	25	29.661945331639	"27.4.aE"
13	25	30.811358835567	"27.4.aE"
14	25	31.219991794313	"27.4.aE"
15	25	31.440451698719	"27.4.aE"
1	26	22.325414562776	"27.4.aE"
2	26	23.706962010885	"27.4.aE"
3	26	24.96016767198	"27.4.aE"
4	26	26.092786270457	"27.4.aE"
5	26	26.26064944869	"27.4.aE"
6	26	26.723489683422	"27.4.aE"
7	26	27.560076571952	"27.4.aE"
8	26	27.798816835958	"27.4.aE"
9	26	28.430411654575	"27.4.aE"
10	26	29.188535339292	"27.4.aE"
11	26	29.662896739717	"27.4.aE"
12	26	29.749587377621	"27.4.aE"
13	26	30.701460982024	"27.4.aE"
14	26	30.928072385591	"27.4.aE"
15	26	31.169563885276	"27.4.aE"
1	27	22.657680141393	"27.4.aE"
2	27	23.997995380564	"27.4.aE"
3	27	25.348428647796	"27.4.aE"
4	27	26.54907133104	"27.4.aE"
5	27	27.007279726229	"27.4.aE"
