"age"	"part.year"	"lengthCM"	"samplingID"	"partnumber"	"otolithtype"	"partcount"
3	0.385245901639344	23.5	5	1	NA	NA
2	0.385245901639344	24	5	1	NA	NA
6	0.385245901639344	25.5	5	1	NA	NA
2	0.385245901639344	25	5	1	NA	NA
6	0.385245901639344	26.5	5	1	NA	NA
3	0.385245901639344	24.5	5	1	NA	NA
8	0.385245901639344	25.5	5	1	NA	NA
3	0.385245901639344	22	5	1	NA	NA
2	0.385245901639344	24.5	5	1	NA	NA
4	0.385245901639344	27.5	5	1	NA	NA
4	0.385245901639344	26.5	5	1	NA	NA
2	0.385245901639344	23.5	5	1	NA	NA
2	0.385245901639344	24	5	1	NA	NA
6	0.385245901639344	27	5	1	NA	NA
2	0.385245901639344	24	5	1	NA	NA
5	0.442622950819672	27.5	6	1	NA	NA
7	0.442622950819672	28	6	1	NA	NA
8	0.442622950819672	28.5	6	1	NA	NA
7	0.442622950819672	27	6	1	NA	NA
4	0.442622950819672	26	6	1	NA	NA
3	0.442622950819672	26	6	1	NA	NA
6	0.442622950819672	29	6	1	NA	NA
2	0.442622950819672	25.5	6	1	NA	NA
7	0.442622950819672	26.5	6	1	NA	NA
6	0.442622950819672	26.5	6	1	NA	NA
6	0.442622950819672	27.5	6	1	NA	NA
6	0.442622950819672	28	6	1	NA	NA
5	0.442622950819672	24.5	6	1	NA	NA
6	0.442622950819672	26	6	1	NA	NA
7	0.442622950819672	28	6	1	NA	NA
6	0.442622950819672	28.5	6	1	NA	NA
6	0.442622950819672	27	6	1	NA	NA
6	0.442622950819672	26.5	6	1	NA	NA
9	0.442622950819672	29	6	1	NA	NA
7	0.442622950819672	28	6	1	NA	NA
3	0.442622950819672	27	6	1	NA	NA
7	0.442622950819672	26	6	1	NA	NA
7	0.442622950819672	28	6	1	NA	NA
5	0.442622950819672	26.5	6	1	NA	NA
7	0.442622950819672	26	6	1	NA	NA
8	0.442622950819672	29	6	1	NA	NA
8	0.442622950819672	26.5	6	1	NA	NA
6	0.442622950819672	27.5	6	1	NA	NA
6	0.442622950819672	28	6	1	NA	NA
8	0.442622950819672	27.5	6	1	NA	NA
7	0.442622950819672	28.5	6	1	NA	NA
9	0.442622950819672	28	6	1	NA	NA
4	0.442622950819672	25.5	6	1	NA	NA
7	0.442622950819672	28.5	6	1	NA	NA
7	0.442622950819672	26.5	6	1	NA	NA
4	0.442622950819672	27	6	1	NA	NA
7	0.442622950819672	27.5	6	1	NA	NA
7	0.442622950819672	28	6	1	NA	NA
9	0.442622950819672	27	6	1	NA	NA
6	0.442622950819672	28	6	1	NA	NA
6	0.442622950819672	26	6	1	NA	NA
6	0.442622950819672	27	6	1	NA	NA
6	0.442622950819672	29.5	6	1	NA	NA
9	0.442622950819672	29	6	1	NA	NA
5	0.442622950819672	27.5	6	1	NA	NA
5	0.442622950819672	26.5	6	1	NA	NA
7	0.442622950819672	27	6	1	NA	NA
7	0.442622950819672	27.5	6	1	NA	NA
4	0.442622950819672	28	6	1	NA	NA
7	0.442622950819672	28.5	6	1	NA	NA
6	0.66120218579235	28	7	1	NA	NA
6	0.66120218579235	27.5	7	1	NA	NA
6	0.66120218579235	29	7	1	NA	NA
2	0.66120218579235	24.5	7	1	NA	NA
7	0.66120218579235	31.5	7	1	NA	NA
2	0.66120218579235	25	7	1	NA	NA
3	0.66120218579235	26.5	7	1	NA	NA
2	0.66120218579235	25.5	7	1	NA	NA
9	0.66120218579235	30	7	1	NA	NA
3	0.66120218579235	27	7	1	NA	NA
6	0.66120218579235	28	7	1	NA	NA
9	0.66120218579235	30	7	1	NA	NA
9	0.66120218579235	30.5	7	1	NA	NA
2	0.66120218579235	26	7	1	NA	NA
6	0.66120218579235	28	7	1	NA	NA
2	0.66120218579235	25	7	1	NA	NA
6	0.66120218579235	27	7	1	NA	NA
6	0.66120218579235	29	7	1	NA	NA
2	0.66120218579235	24.5	7	1	NA	NA
6	0.66120218579235	28.5	7	1	NA	NA
7	0.66120218579235	28	7	1	NA	NA
2	0.66120218579235	25.5	7	1	NA	NA
6	0.66120218579235	30.5	7	1	NA	NA
2	0.66120218579235	25.5	7	1	NA	NA
4	0.66120218579235	29	7	1	NA	NA
9	0.66120218579235	29.5	7	1	NA	NA
2	0.66120218579235	25.5	7	1	NA	NA
6	0.66120218579235	30.5	7	1	NA	NA
7	0.66120218579235	29	7	1	NA	NA
6	0.66120218579235	28.5	7	1	NA	NA
2	0.519125683060109	20.5	8	1	NA	NA
2	0.519125683060109	23	8	1	NA	NA
1	0.519125683060109	20.5	8	1	NA	NA
1	0.519125683060109	20	8	1	NA	NA
2	0.519125683060109	22	8	1	NA	NA
3	0.519125683060109	23	8	1	NA	NA
1	0.519125683060109	19	8	1	NA	NA
2	0.519125683060109	22.5	8	1	NA	NA
2	0.519125683060109	22	8	1	NA	NA
3	0.519125683060109	24	8	1	NA	NA
2	0.519125683060109	23	8	1	NA	NA
2	0.519125683060109	20	8	1	NA	NA
1	0.519125683060109	20.5	8	1	NA	NA
1	0.519125683060109	19.5	8	1	NA	NA
1	0.519125683060109	21	8	1	NA	NA
