"Dokumentnummer"	"Linjenummer"	"Art_kode"	"Registreringsmerke_seddel"	"Fangstår"	"SisteFangstdato"	"Redskap_kode"	"HovedgruppeRedskap_kode"	"Hovedområde_kode"	"Lokasjon_kode"	"StørsteLengde"	"Fartøynasjonalitet_kode"	"KystHav_kode"	"Fangstfelt_kode"	"Hovedområde_bokmål"	"Sone_kode"	"Sone_bokmål"	"Områdegruppering_bokmål"	"HovedområdeFAO_kode"	"HovedområdeFAO_bokmål"	"NordSørFor62GraderNord"	"Fangstdagbok_nummer"	"Fangstdagbok_turnummer"
"1568581"	2	"2013"	"VL0264AV"	2020	"09.10.2020"	"11"	NA	"42"	"32"	87.8	"NOR"	0	"04232"	"Shetland"	"XEU"	"EU-sonen"	"Atlanterhavet, nordøst/nordlige Nordsjøen"	"27"	"Nordøstlige Atlanterhav"	"Sør for 62°N"	0	0
"1568479"	1	"2013"	"H 0001AV"	2020	"08.10.2020"	"11"	NA	"42"	"22"	67	"NOR"	0	"04222"	"Shetland"	"XEU"	"EU-sonen"	"Atlanterhavet, nordøst/nordlige Nordsjøen"	"27"	"Nordøstlige Atlanterhav"	"Sør for 62°N"	201099	999
"1568006"	2	"2013"	"H 0087AV"	2020	"03.10.2020"	"11"	NA	"42"	"13"	68.8	"NOR"	0	"04213"	"Shetland"	"XEU"	"EU-sonen"	"Atlanterhavet, nordøst/nordlige Nordsjøen"	"27"	"Nordøstlige Atlanterhav"	"Sør for 62°N"	201099	999
"1568545"	3	"2013"	"H 0021F"	2020	"09.10.2020"	"11"	NA	"42"	"32"	69.3	"NOR"	0	"04232"	"Shetland"	"XEU"	"EU-sonen"	"Atlanterhavet, nordøst/nordlige Nordsjøen"	"27"	"Nordøstlige Atlanterhav"	"Sør for 62°N"	0	0
"1568279"	1	"2013"	"M 0095MD"	2020	"05.10.2020"	"11"	NA	"42"	"13"	62.6	"NOR"	0	"04213"	"Shetland"	"XEU"	"EU-sonen"	"Atlanterhavet, nordøst/nordlige Nordsjøen"	"27"	"Nordøstlige Atlanterhav"	"Sør for 62°N"	0	0
"1567518"	1	"2013"	"N 0024ME"	2020	"27.09.2020"	"11"	NA	"42"	"42"	67.4	"NOR"	0	"04242"	"Shetland"	"XEU"	"EU-sonen"	"Atlanterhavet, nordøst/nordlige Nordsjøen"	"27"	"Nordøstlige Atlanterhav"	"Sør for 62°N"	201099	999
"1567518"	2	"2013"	"N 0024ME"	2020	"27.09.2020"	"11"	NA	"42"	"42"	67.4	"NOR"	0	"04242"	"Shetland"	"XEU"	"EU-sonen"	"Atlanterhavet, nordøst/nordlige Nordsjøen"	"27"	"Nordøstlige Atlanterhav"	"Sør for 62°N"	201099	999
"1569087"	1	"2013"	"SF0012F"	2020	"16.10.2020"	"11"	NA	"42"	"22"	34.79	"NOR"	0	"04222"	"Shetland"	"XEU"	"EU-sonen"	"Atlanterhavet, nordøst/nordlige Nordsjøen"	"27"	"Nordøstlige Atlanterhav"	"Sør for 62°N"	201099	999
"1569087"	2	"2013"	"SF0012F"	2020	"16.10.2020"	"11"	NA	"42"	"22"	34.79	"NOR"	0	"04222"	"Shetland"	"XEU"	"EU-sonen"	"Atlanterhavet, nordøst/nordlige Nordsjøen"	"27"	"Nordøstlige Atlanterhav"	"Sør for 62°N"	201099	999
"1568501"	1	"2013"	"M 0001HØ"	2020	"08.10.2020"	"11"	NA	"42"	"32"	75.4	"NOR"	0	"04232"	"Shetland"	"XEU"	"EU-sonen"	"Atlanterhavet, nordøst/nordlige Nordsjøen"	"27"	"Nordøstlige Atlanterhav"	"Sør for 62°N"	0	0
