"Dokumentnummer"	"Linjenummer"	"Art_kode"	"Registreringsmerke_seddel"	"Fangstår"	"SisteFangstdato"	"Redskap_kode"	"HovedgruppeRedskap_kode"	"Hovedområde_kode"	"Lokasjon_kode"	"StørsteLengde"	"Fartøynasjonalitet_kode"	"KystHav_kode"	"id"	"Dokumenttype_Kode"	"Dokumenttype_Bokmål"	"DokumentVersjonsnummer"	"DokumentFormulardato"	"DokumentElektroniskDato"
"1564013"	1	"2013"	"H 0046B"	2020	"06.05.2020"	"21"	NA	"08"	"15"	9	"NOR"	8	NA	0	"Sluttseddeldokument"	4	"06.05.2020"	"11.05.2020 09:22:02.849"
"1564083"	1	"2013"	"H 0046B"	2020	"13.05.2020"	"21"	NA	"08"	"15"	9	"NOR"	8	NA	0	"Sluttseddeldokument"	3	"13.05.2020"	"14.05.2020 11:12:00.425"
"1567737"	1	"2013"	"SF0100SU"	2020	"29.09.2020"	"11"	NA	"42"	"32"	38.55	"NOR"	0	NA	0	"Sluttseddeldokument"	3	"30.09.2020"	"01.10.2020 12:24:02.122"
"1567670"	1	"2013"	"SF0100SU"	2020	"29.09.2020"	"11"	NA	"42"	"32"	38.55	"NOR"	0	NA	0	"Sluttseddeldokument"	3	"30.09.2020"	"01.10.2020 12:26:26.271"
"1567669"	3	"2013"	"N 0053BØ"	2020	"29.09.2020"	"11"	NA	"42"	"32"	37.52	"NOR"	0	NA	0	"Sluttseddeldokument"	3	"01.10.2020"	"05.10.2020 08:30:11.828"
"1569066"	1	"2013"	"M 0065HØ"	2020	"16.10.2020"	"11"	NA	"42"	"22"	74	"NOR"	0	NA	0	"Sluttseddeldokument"	3	"18.10.2020"	"20.10.2020 13:06:31.514"
"1569066"	2	"2013"	"M 0065HØ"	2020	"16.10.2020"	"11"	NA	"42"	"22"	74	"NOR"	0	NA	0	"Sluttseddeldokument"	3	"18.10.2020"	"20.10.2020 13:06:31.514"
"1569067"	2	"2013"	"M 0065HØ"	2020	"16.10.2020"	"11"	NA	"42"	"22"	74	"NOR"	0	NA	0	"Sluttseddeldokument"	3	"18.10.2020"	"20.10.2020 13:06:32.546"
"1569170"	1	"2013"	"SF0028B"	2020	"18.10.2020"	"11"	NA	"42"	"22"	64	"NOR"	0	NA	0	"Sluttseddeldokument"	3	"20.10.2020"	"23.10.2020 11:06:38.547"
"1569698"	1	"2013"	"H 0026AV"	2020	"31.10.2020"	"11"	NA	"42"	"52"	70	"NOR"	0	NA	0	"Sluttseddeldokument"	3	"02.11.2020"	"04.11.2020 10:26:16.059"
"1569409"	2	"2013"	"N 0025VV"	2020	"23.10.2020"	"11"	NA	"42"	"33"	27.42	"NOR"	0	NA	0	"Sluttseddeldokument"	3	"25.10.2020"	"29.10.2020 14:01:01.658"
"1564921"	2	"2013"	"H 0004AV"	2020	"21.06.2020"	"11"	NA	"42"	"44"	76.4	"NOR"	0	NA	0	"Sluttseddeldokument"	3	"23.06.2020"	"24.06.2020 07:20:16.438"
"1569364"	2	"2013"	"N 0007BØ"	2020	"22.10.2020"	"11"	NA	"42"	"33"	34.07	"NOR"	0	NA	0	"Sluttseddeldokument"	3	"24.10.2020"	"29.10.2020 15:04:11.203"
"1569478"	1	"2013"	"M 0095MD"	2020	"26.10.2020"	"11"	NA	"42"	"23"	62.6	"NOR"	0	NA	0	"Sluttseddeldokument"	3	"28.10.2020"	"29.10.2020 15:26:20.063"
"1569698"	2	"2013"	"H 0026AV"	2020	"31.10.2020"	"11"	NA	"42"	"52"	70	"NOR"	0	NA	0	"Sluttseddeldokument"	3	"02.11.2020"	"04.11.2020 10:26:16.059"
"1569757"	1	"2013"	"M 0006M"	2020	"02.11.2020"	"11"	NA	"07"	"31"	10.65	"NOR"	8	NA	0	"Sluttseddeldokument"	3	"02.11.2020"	"04.11.2020 10:26:29.258"
"1569112"	1	"2013"	"N 0024ME"	2020	"17.10.2020"	"11"	NA	"42"	"23"	67.4	"NOR"	0	NA	0	"Sluttseddeldokument"	3	"19.10.2020"	"23.10.2020 11:38:25.207"
"1568755"	1	"2013"	"SF0008A"	2020	"12.10.2020"	"11"	NA	"42"	"33"	44.85	"NOR"	0	NA	0	"Sluttseddeldokument"	3	"13.10.2020"	"16.10.2020 08:44:12.422"
"1568756"	3	"2013"	"M 0003HØ"	2020	"12.10.2020"	"11"	NA	"42"	"33"	67.5	"NOR"	0	NA	0	"Sluttseddeldokument"	3	"13.10.2020"	"16.10.2020 08:44:14.093"
"1568199"	3	"2013"	"M 0056MD"	2020	"05.10.2020"	"11"	NA	"42"	"13"	78.39	"NOR"	0	NA	0	"Sluttseddeldokument"	3	"07.10.2020"	"16.10.2020 09:38:10.404"
"1568755"	2	"2013"	"SF0008A"	2020	"12.10.2020"	"11"	NA	"42"	"33"	44.85	"NOR"	0	NA	0	"Sluttseddeldokument"	3	"13.10.2020"	"16.10.2020 08:44:12.422"
"1569757"	2	"2013"	"M 0006M"	2020	"02.11.2020"	"11"	NA	"07"	"31"	10.65	"NOR"	8	NA	0	"Sluttseddeldokument"	3	"02.11.2020"	"04.11.2020 10:26:29.258"
"1569447"	1	"2013"	"N 0007BØ"	2020	"22.10.2020"	"11"	NA	"42"	"33"	34.07	"NOR"	0	NA	0	"Sluttseddeldokument"	3	"24.10.2020"	"29.10.2020 15:04:36.272"
"1569512"	3	"2013"	"H 0058AV"	2020	"27.10.2020"	"11"	NA	"42"	"23"	71.1	"NOR"	0	NA	0	"Sluttseddeldokument"	3	"28.10.2020"	"02.11.2020 13:56:21.074"
"1569112"	2	"2013"	"N 0024ME"	2020	"17.10.2020"	"11"	NA	"42"	"23"	67.4	"NOR"	0	NA	0	"Sluttseddeldokument"	3	"19.10.2020"	"23.10.2020 11:38:25.207"
"1564299"	2	"2013"	"M 0003HØ"	2020	"29.05.2020"	"11"	NA	"42"	"34"	67.5	"NOR"	0	NA	0	"Sluttseddeldokument"	3	"31.05.2020"	"03.06.2020 12:20:00.492"
"1568903"	1	"2013"	"N 0114L"	2020	"14.10.2020"	"11"	NA	"42"	"43"	27.4	"NOR"	0	NA	0	"Sluttseddeldokument"	3	"16.10.2020"	"20.10.2020 10:58:13.441"
"1568903"	2	"2013"	"N 0114L"	2020	"14.10.2020"	"11"	NA	"42"	"43"	27.4	"NOR"	0	NA	0	"Sluttseddeldokument"	3	"16.10.2020"	"20.10.2020 10:58:13.441"
"1568903"	3	"2013"	"N 0114L"	2020	"14.10.2020"	"11"	NA	"42"	"43"	27.4	"NOR"	0	NA	0	"Sluttseddeldokument"	3	"16.10.2020"	"20.10.2020 10:58:13.441"
"1569409"	4	"2013"	"N 0025VV"	2020	"23.10.2020"	"11"	NA	"42"	"33"	27.42	"NOR"	0	NA	0	"Sluttseddeldokument"	3	"25.10.2020"	"29.10.2020 14:01:01.658"
"1568756"	1	"2013"	"M 0003HØ"	2020	"12.10.2020"	"11"	NA	"42"	"33"	67.5	"NOR"	0	NA	0	"Sluttseddeldokument"	3	"13.10.2020"	"16.10.2020 08:44:14.093"
"1569364"	1	"2013"	"N 0007BØ"	2020	"22.10.2020"	"11"	NA	"42"	"33"	34.07	"NOR"	0	NA	0	"Sluttseddeldokument"	3	"24.10.2020"	"29.10.2020 15:04:11.203"
