"Dokumentnummer"	"Linjenummer"	"Art_kode"	"Registreringsmerke_seddel"	"Fangstår"	"SisteFangstdato"	"Redskap_kode"	"HovedgruppeRedskap_kode"	"Hovedområde_kode"	"Lokasjon_kode"	"StørsteLengde"	"Fartøynasjonalitet_kode"	"KystHav_kode"	"Landingsdato"	"Landingsklokkeslett"	"Landingskommune_kode"	"Landingskommune"	"Landingsfylke_kode"	"Landingsfylke"	"Landingsnasjon_kode"	"Landingsnasjon_bokmål"	"Produksjonsanlegg"	"Produksjonskommune_kode"	"Produksjonskommune"
"1578272"	6	"2013"	"H 0221B"	2021	"10.10.2021"	"51"	NA	"08"	"13"	49.96	"NOR"	0	"11.10.2021"	"16:33:00"	1149	"KARMØY"	11	"Rogaland"	"NOR"	"NORGE"	NA	NA	NA
"1574753"	4	"2013"	"H 0002F"	2021	"15.07.2021"	"53"	NA	"08"	"13"	64	"NOR"	0	"15.07.2021"	"19:47:00"	1149	"KARMØY"	11	"Rogaland"	"NOR"	"NORGE"	NA	NA	NA
"1574808"	4	"2013"	"R 0007K"	2021	"21.07.2021"	"53"	NA	"28"	"52"	60.4	"NOR"	0	"22.07.2021"	"11:16:00"	1149	"KARMØY"	11	"Rogaland"	"NOR"	"NORGE"	NA	NA	NA
"1572793"	4	"2013"	"H 0140AV"	2021	"12.04.2021"	"53"	NA	"08"	"14"	64	"NOR"	0	"15.04.2021"	"11:18:00"	1149	"KARMØY"	11	"Rogaland"	"NOR"	"NORGE"	NA	NA	NA
"1575347"	2	"2013"	"H 0175B"	2021	"13.08.2021"	"53"	NA	"28"	"51"	61.54	"NOR"	0	"14.08.2021"	"11:04:00"	1149	"KARMØY"	11	"Rogaland"	"NOR"	"NORGE"	NA	NA	NA
"1574759"	2	"2013"	"VL0001ØN"	2021	"16.07.2021"	"53"	NA	"28"	"52"	86.1	"NOR"	0	"16.07.2021"	"14:58:00"	1149	"KARMØY"	11	"Rogaland"	"NOR"	"NORGE"	NA	NA	NA
"1579677"	4	"2013"	"M 0095MD"	2021	"11.11.2021"	"53"	NA	"08"	"13"	62.6	"NOR"	0	"12.11.2021"	"14:00:00"	1149	"KARMØY"	11	"Rogaland"	"NOR"	"NORGE"	NA	NA	NA
"1574594"	2	"2013"	"H 0069S"	2021	"09.07.2021"	"53"	NA	"28"	"52"	61.88	"NOR"	0	"10.07.2021"	"08:12:00"	1149	"KARMØY"	11	"Rogaland"	"NOR"	"NORGE"	NA	NA	NA
"1574549"	2	"2013"	"H 0001AV"	2021	"08.07.2021"	"53"	NA	"28"	"52"	67	"NOR"	0	"08.07.2021"	"05:09:00"	1149	"KARMØY"	11	"Rogaland"	"NOR"	"NORGE"	NA	NA	NA
"1574756"	2	"2013"	"H 0140AV"	2021	"15.07.2021"	"53"	NA	"28"	"52"	64	"NOR"	0	"16.07.2021"	"14:57:00"	1149	"KARMØY"	11	"Rogaland"	"NOR"	"NORGE"	NA	NA	NA
"1573896"	2	"2013"	"H 0175B"	2021	"18.06.2021"	"53"	NA	"28"	"51"	61.54	"NOR"	0	"19.06.2021"	"07:29:00"	1149	"KARMØY"	11	"Rogaland"	"NOR"	"NORGE"	NA	NA	NA
"1574548"	7	"2013"	"H 0002F"	2021	"08.07.2021"	"53"	NA	"08"	"13"	64	"NOR"	0	"08.07.2021"	"05:08:00"	1149	"KARMØY"	11	"Rogaland"	"NOR"	"NORGE"	NA	NA	NA
"1574835"	5	"2013"	"H 0002F"	2021	"24.07.2021"	"53"	NA	"08"	"11"	64	"NOR"	0	"25.07.2021"	"09:44:00"	1149	"KARMØY"	11	"Rogaland"	"NOR"	"NORGE"	NA	NA	NA
"1579634"	6	"2013"	"H 0030B"	2021	"10.11.2021"	"51"	NA	"08"	"13"	61.86	"NOR"	0	"11.11.2021"	"13:53:00"	1149	"KARMØY"	11	"Rogaland"	"NOR"	"NORGE"	NA	NA	NA
"1572825"	3	"2013"	"H 0175B"	2021	"19.04.2021"	"51"	NA	"41"	"75"	61.54	"NOR"	0	"20.04.2021"	"13:32:00"	1149	"KARMØY"	11	"Rogaland"	"NOR"	"NORGE"	NA	NA	NA
"1572931"	2	"2013"	"H 0004B"	2021	"06.05.2021"	"51"	NA	"08"	"06"	68.3	"NOR"	0	"08.05.2021"	"13:16:00"	1149	"KARMØY"	11	"Rogaland"	"NOR"	"NORGE"	NA	NA	NA
