"Dokumentnummer"	"Linjenummer"	"Art_kode"	"Registreringsmerke_seddel"	"Fangstår"	"SisteFangstdato"	"Redskap_kode"	"HovedgruppeRedskap_kode"	"Hovedområde_kode"	"Lokasjon_kode"	"StørsteLengde"	"Fartøynasjonalitet_kode"	"KystHav_kode"	"KvotefartøyRegMerke"	"Kvotetype_kode"	"Kvotetype_bokmål"
"1588801"	1	"2013"	"NT0500V"	2022	"22.10.2022"	"53"	NA	"08"	"55"	68.25	"NOR"	0	"NT0500V"	"01"	"Vanlig kvote"
"1583373"	2	"2013"	"H 0002F"	2022	"23.06.2022"	"53"	NA	"08"	"06"	64	"NOR"	0	"H 0002F"	"01"	"Vanlig kvote"
"1586695"	1	"2013"	"N 0024ME"	2022	"11.09.2022"	"53"	NA	"28"	"51"	67.4	"NOR"	0	"N 0024ME"	"01"	"Vanlig kvote"
"1589869"	2	"2013"	"M 0023HØ"	2022	"13.11.2022"	"53"	NA	"42"	"06"	69.95	"NOR"	0	"M 0023HØ"	"01"	"Vanlig kvote"
"1587707"	2	"2013"	"T 0042T"	2022	"28.09.2022"	"53"	NA	"28"	"51"	55	"NOR"	0	"T 0042T"	"01"	"Vanlig kvote"
"1582844"	2	"2013"	"M 0070HØ"	2022	"31.05.2022"	"53"	NA	"08"	"07"	69.9	"NOR"	0	"M 0070HØ"	"01"	"Vanlig kvote"
"1589442"	1	"2013"	"NT0500V"	2022	"05.11.2022"	"53"	NA	"28"	"51"	68.25	"NOR"	0	"NT0500V"	"01"	"Vanlig kvote"
"1586453"	2	"2013"	"M 0023HØ"	2022	"08.09.2022"	"53"	NA	"28"	"51"	69.95	"NOR"	0	"M 0023HØ"	"01"	"Vanlig kvote"
"1587524"	1	"2013"	"VA0010S"	2022	"24.09.2022"	"54"	NA	"42"	"44"	14.98	"NOR"	0	"VA0010S"	"01"	"Vanlig kvote"
"1587523"	1	"2013"	"VA0021M"	2022	"24.09.2022"	"54"	NA	"42"	"44"	14.98	"NOR"	0	"VA0021M"	"01"	"Vanlig kvote"
"1588768"	1	"2013"	"N 0024ME"	2022	"22.10.2022"	"53"	NA	"07"	"14"	67.4	"NOR"	0	"N 0024ME"	"01"	"Vanlig kvote"
"1586638"	1	"2013"	"VL0001ØN"	2022	"10.09.2022"	"53"	NA	"08"	"55"	86.1	"NOR"	0	"VL9001ØN"	"01"	"Vanlig kvote"
"1586434"	2	"2013"	"M 0030M"	2022	"08.09.2022"	"53"	NA	"28"	"52"	65	"NOR"	0	"M 0030M"	"01"	"Vanlig kvote"
"1588353"	1	"2013"	"VL0264AV"	2022	"12.10.2022"	"53"	NA	"28"	"52"	87.8	"NOR"	0	"VL9111AV"	"01"	"Vanlig kvote"
"1587064"	1	"2013"	"M 0040HØ"	2022	"15.09.2022"	"53"	NA	"08"	"55"	70.3	"NOR"	0	"M 0040HØ"	"01"	"Vanlig kvote"
"1588490"	8	"2013"	"VA0330S"	2022	"16.10.2022"	"51"	NA	"08"	"13"	40.3	"NOR"	0	"VA0330S"	"01"	"Vanlig kvote"
"1586468"	7	"2013"	"H 0221B"	2022	"08.09.2022"	"51"	NA	"08"	"14"	49.96	"NOR"	0	"H 0221B"	"01"	"Vanlig kvote"
"1588675"	2	"2013"	"H 0017BN"	2022	"19.10.2022"	"51"	NA	"08"	"14"	42.9	"NOR"	0	"H 0017BN"	"01"	"Vanlig kvote"
"1586981"	8	"2013"	"H 0221B"	2022	"14.09.2022"	"51"	NA	"08"	"07"	49.96	"NOR"	0	"H 0221B"	"01"	"Vanlig kvote"
"1587617"	10	"2013"	"VA0330S"	2022	"25.09.2022"	"51"	NA	"08"	"13"	40.3	"NOR"	0	"VA0330S"	"01"	"Vanlig kvote"
"1588811"	2	"2013"	"VA0095K"	2022	"23.10.2022"	"51"	NA	"08"	"13"	38.7	"NOR"	0	"VA0095K"	"01"	"Vanlig kvote"
"1583626"	6	"2013"	"R 0022B"	2022	"02.07.2022"	"51"	NA	"08"	"14"	42.5	"NOR"	0	"R 0022B"	"01"	"Vanlig kvote"
"1585773"	1	"2013"	"VL0016AV"	2022	"29.08.2022"	"11"	NA	"28"	"41"	10.99	"NOR"	8	"VL0016AV"	"01"	"Vanlig kvote"
"1582842"	2	"2013"	"M 0001HØ"	2022	"31.05.2022"	"11"	NA	"08"	"07"	75.4	"NOR"	0	"M 0001HØ"	"01"	"Vanlig kvote"
"1582695"	2	"2013"	"TR0346ND"	2022	"23.05.2022"	"11"	NA	"08"	"09"	43.8	"NOR"	0	"TR0346ND"	"01"	"Vanlig kvote"
"1582739"	2	"2013"	"M 0070HØ"	2022	"25.05.2022"	"11"	NA	"08"	"06"	69.9	"NOR"	0	"M 0070HØ"	"01"	"Vanlig kvote"
"1582565"	2	"2013"	"H 0140B"	2022	"16.05.2022"	"11"	NA	"08"	"52"	60.9	"NOR"	0	"H 0140B"	"01"	"Vanlig kvote"
"1582632"	3	"2013"	"H 0001BN"	2022	"21.05.2022"	"11"	NA	"08"	"10"	75.4	"NOR"	0	"H 0001BN"	"01"	"Vanlig kvote"
"1582845"	2	"2013"	"M 0345A"	2022	"31.05.2022"	"11"	NA	"08"	"08"	27.99	"NOR"	8	"M 0345A"	"01"	"Vanlig kvote"
"1586473"	6	"2013"	"R 0022B"	2022	"08.09.2022"	"51"	NA	"08"	"14"	42.5	"NOR"	0	"R 0022B"	"01"	"Vanlig kvote"
"1582465"	6	"2013"	"H 0175B"	2022	"01.05.2022"	"51"	NA	"41"	"75"	61.54	"NOR"	0	"H 0175B"	"01"	"Vanlig kvote"
"1587053"	6	"2013"	"R 0022B"	2022	"15.09.2022"	"51"	NA	"08"	"07"	42.5	"NOR"	0	"R 0022B"	"01"	"Vanlig kvote"
"1588074"	13	"2013"	"VA0330S"	2022	"03.10.2022"	"51"	NA	"08"	"13"	40.3	"NOR"	0	"VA0330S"	"01"	"Vanlig kvote"
"1588311"	9	"2013"	"VA0095K"	2022	"09.10.2022"	"51"	NA	"08"	"14"	38.7	"NOR"	0	"VA0095K"	"01"	"Vanlig kvote"
"1588249"	5	"2013"	"R 0001K"	2022	"05.10.2022"	"51"	NA	"08"	"14"	65	"NOR"	0	"R 0001K"	"01"	"Vanlig kvote"
"1585024"	12	"2013"	"VA0095K"	2022	"21.08.2022"	"51"	NA	"08"	"07"	38.7	"NOR"	0	"VA0095K"	"01"	"Vanlig kvote"
"1584991"	7	"2013"	"VA0330S"	2022	"21.08.2022"	"51"	NA	"08"	"10"	40.3	"NOR"	0	"VA0330S"	"01"	"Vanlig kvote"
"1583356"	5	"2013"	"VL0001ØN"	2022	"23.06.2022"	"51"	NA	"41"	"76"	86.1	"NOR"	0	"VL0001ØN"	"01"	"Vanlig kvote"
"1583361"	4	"2013"	"H 0005ØN"	2022	"23.06.2022"	"51"	NA	"41"	"75"	62.6	"NOR"	0	"H 0005ØN"	"01"	"Vanlig kvote"
"1583357"	3	"2013"	"H 0030B"	2022	"23.06.2022"	"51"	NA	"41"	"76"	61.86	"NOR"	0	"H 0030B"	"01"	"Vanlig kvote"
"1582918"	6	"2013"	"VA0095K"	2022	"05.06.2022"	"51"	NA	"08"	"10"	38.7	"NOR"	0	"VA0095K"	"01"	"Vanlig kvote"
"1582552"	3	"2013"	"VA0330S"	2022	"15.05.2022"	"51"	NA	"41"	"65"	40.3	"NOR"	0	"VA0330S"	"01"	"Vanlig kvote"
