"Dokumentnummer"	"Linjenummer"	"Art_kode"	"Registreringsmerke_seddel"	"Fangstår"	"SisteFangstdato"	"Redskap_kode"	"HovedgruppeRedskap_kode"	"Hovedområde_kode"	"Lokasjon_kode"	"StørsteLengde"	"Fartøynasjonalitet_kode"	"KystHav_kode"	"Produkttilstand_kode"	"Produkttilstand_bokmål"	"Konserveringsmåte_kode"	"Konserveringsmåte_bokmål"	"Landingsmåte_kode"	"Landingsmåte_bokmål"	"Kvalitet_kode"	"Kvalitet_bokmål"	"Størrelsesgruppering_kode"	"Anvendelse_kode"	"Anvendelse_bokmål"	"HovedgruppeAnvendelse_kode"	"HovedgruppeAnvendelse_bokmål"	"AntallStykk"	"Bruttovekt"	"Produktvekt"	"Rundvekt"
"1582741"	6	"2013"	"R 0011K"	2022	"25.05.2022"	"51"	NA	"41"	"65"	65	"NOR"	0	"110"	"Rund"	"11"	"Rsw"	"3"	"tank / båt"	"99"	"Uspesifisert"	"3000000"	"800"	"Mel og olje"	"2"	"Mel og olje"	0	700	700	700
"1582886"	6	"2013"	"H 0140AV"	2022	"02.06.2022"	"51"	NA	"41"	"64"	64	"NOR"	0	"110"	"Rund"	"22"	"Rfw og syre"	"3"	"tank / båt"	"99"	"Uspesifisert"	"3000000"	"800"	"Mel og olje"	"2"	"Mel og olje"	0	50	50	50
"1583227"	5	"2013"	"H 0004B"	2022	"19.06.2022"	"51"	NA	"41"	"76"	68.3	"NOR"	0	"110"	"Rund"	"22"	"Rfw og syre"	"3"	"tank / båt"	"99"	"Uspesifisert"	"3000000"	"800"	"Mel og olje"	"2"	"Mel og olje"	0	2800	2800	2800
"1582702"	2	"2013"	"TF0195M"	2022	"23.05.2022"	"53"	NA	"08"	"10"	62.6	"NOR"	0	"110"	"Rund"	"11"	"Rsw"	"3"	"tank / båt"	"99"	"Uspesifisert"	"3000000"	"800"	"Mel og olje"	"2"	"Mel og olje"	0	6500	6500	6500
"1582488"	2	"2013"	"VL0009AV"	2022	"05.05.2022"	"53"	NA	"31"	"01"	74.5	"NOR"	0	"110"	"Rund"	"10"	"Rfw"	"3"	"tank / båt"	"99"	"Uspesifisert"	"3000000"	"800"	"Mel og olje"	"2"	"Mel og olje"	0	18000	18000	18000
"1582952"	2	"2013"	"M 0625H"	2022	"07.06.2022"	"53"	NA	"41"	"74"	75.4	"NOR"	0	"110"	"Rund"	"11"	"Rsw"	"3"	"tank / båt"	"99"	"Uspesifisert"	"3000000"	"800"	"Mel og olje"	"2"	"Mel og olje"	0	350	350	350
"1582577"	4	"2013"	"R 0007K"	2022	"18.05.2022"	"53"	NA	"08"	"09"	60.4	"NOR"	0	"110"	"Rund"	"11"	"Rsw"	"3"	"tank / båt"	"99"	"Uspesifisert"	"3000000"	"800"	"Mel og olje"	"2"	"Mel og olje"	0	1000	1000	1000
"1587268"	9	"2013"	"R 0001K"	2022	"21.09.2022"	"53"	NA	"08"	"13"	65	"NOR"	0	"110"	"Rund"	"22"	"Rfw og syre"	"3"	"tank / båt"	"99"	"Uspesifisert"	"3000000"	"800"	"Mel og olje"	"2"	"Mel og olje"	0	41111	41111	41111
"1582752"	2	"2013"	"N 0001B"	2022	"25.05.2022"	"53"	NA	"08"	"52"	64	"NOR"	0	"110"	"Rund"	"11"	"Rsw"	"3"	"tank / båt"	"99"	"Uspesifisert"	"3000000"	"800"	"Mel og olje"	"2"	"Mel og olje"	0	6000	6000	6000
"1589798"	3	"2013"	"S144"	2022	"13.11.2022"	"53"	NA	"41"	"30"	NA	"DNK"	0	"110"	"Rund"	"11"	"Rsw"	"3"	"tank / båt"	"99"	"Uspesifisert"	"3000000"	"800"	"Mel og olje"	"2"	"Mel og olje"	0	4600	4600	4600
