"CruiseKey"	"StationKey"	"HaulKey"	"SpeciesCategoryKey"	"SampleKey"	"Sample"	"CatchFractionWeight"	"CatchFractionNumber"	"SampleWeight"	"SampleNumber"	"sampleproducttype"	"lengthmeasurement"
"NA/19/2021/10011/30"	"39"	"38039"	"makrell/172414/127023/Scomber scombrus"	"1"	"NA/19/2021/10011/30-39-38039-makrell/172414/127023/Scomber scombrus-1"	180000	410889	11.828	27	"1"	"F"
"NA/19/2021/10011/30"	"40"	"38040"	"makrell/172414/127023/Scomber scombrus"	"1"	"NA/19/2021/10011/30-40-38040-makrell/172414/127023/Scomber scombrus-1"	129000	352106	10.991	30	"1"	"F"
"NA/19/2021/10011/30"	"40"	"38040"	"makrell/172414/127023/Scomber scombrus"	"2"	"NA/19/2021/10011/30-40-38040-makrell/172414/127023/Scomber scombrus-2"	2.015	7	2.015	7	"1"	"F"
"NA/19/2021/10011/30"	"41"	"38041"	"makrell/172414/127023/Scomber scombrus"	"1"	"NA/19/2021/10011/30-41-38041-makrell/172414/127023/Scomber scombrus-1"	260000	666726	11.309	29	"1"	"F"
"NA/19/2021/10011/30"	"42"	"38042"	"makrell/172414/127023/Scomber scombrus"	"1"	"NA/19/2021/10011/30-42-38042-makrell/172414/127023/Scomber scombrus-1"	340000	714452	8.566	18	"1"	"F"
"NA/19/2021/10011/30"	"43"	"38043"	"makrell/172414/127023/Scomber scombrus"	"1"	"NA/19/2021/10011/30-43-38043-makrell/172414/127023/Scomber scombrus-1"	110000	216837	8.624	17	"1"	"F"
"NA/19/2021/10011/30"	"44"	"38044"	"makrell/172414/127023/Scomber scombrus"	"1"	"NA/19/2021/10011/30-44-38044-makrell/172414/127023/Scomber scombrus-1"	345000	778329	15.514	35	"1"	"F"
"NA/19/2021/10011/30"	"45"	"38045"	"makrell/172414/127023/Scomber scombrus"	"1"	"NA/19/2021/10011/30-45-38045-makrell/172414/127023/Scomber scombrus-1"	255000	631481	12.922	32	"1"	"F"
"NA/19/2021/10011/30"	"46"	"38046"	"makrell/172414/127023/Scomber scombrus"	"1"	"NA/19/2021/10011/30-46-38046-makrell/172414/127023/Scomber scombrus-1"	620000	1870851	9.942	30	"1"	"F"
"NA/19/2021/10011/30"	"46"	"38046"	"makrell/172414/127023/Scomber scombrus"	"2"	"NA/19/2021/10011/30-46-38046-makrell/172414/127023/Scomber scombrus-2"	NA	NA	2.337	9	"1"	"F"
"NA/19/2021/10011/30"	"47"	"38047"	"makrell/172414/127023/Scomber scombrus"	"1"	"NA/19/2021/10011/30-47-38047-makrell/172414/127023/Scomber scombrus-1"	170000	367494	12.49	27	"1"	"F"
"NA/19/2021/10011/30"	"48"	"38048"	"makrell/172414/127023/Scomber scombrus"	"1"	"NA/19/2021/10011/30-48-38048-makrell/172414/127023/Scomber scombrus-1"	35000	70460	14.902	30	"1"	"F"
"NA/19/2021/10011/30"	"48"	"38048"	"makrell/172414/127023/Scomber scombrus"	"2"	"NA/19/2021/10011/30-48-38048-makrell/172414/127023/Scomber scombrus-2"	3.505	7	3.505	7	"1"	"F"
"NA/19/2021/10011/30"	"49"	"38049"	"makrell/172414/127023/Scomber scombrus"	"1"	"NA/19/2021/10011/30-49-38049-makrell/172414/127023/Scomber scombrus-1"	270000	549640	12.772	26	"1"	"F"
"NA/19/2021/10011/30"	"50"	"38050"	"makrell/172414/127023/Scomber scombrus"	"1"	"NA/19/2021/10011/30-50-38050-makrell/172414/127023/Scomber scombrus-1"	280000	599315	9.344	20	"1"	"F"
"NA/19/2021/10011/30"	"51"	"38051"	"makrell/172414/127023/Scomber scombrus"	"1"	"NA/19/2021/10011/30-51-38051-makrell/172414/127023/Scomber scombrus-1"	35000	74310	10.833	23	"1"	"F"
"NA/19/2021/10011/30"	"52"	"38052"	"makrell/172414/127023/Scomber scombrus"	"1"	"NA/19/2021/10011/30-52-38052-makrell/172414/127023/Scomber scombrus-1"	90000	190447	9.924	21	"1"	"F"
"NA/19/2021/10011/30"	"53"	"38053"	"makrell/172414/127023/Scomber scombrus"	"1"	"NA/19/2021/10011/30-53-38053-makrell/172414/127023/Scomber scombrus-1"	25000	50744	4.434	9	"1"	"F"
"NA/19/2021/10011/30"	"54"	"38054"	"makrell/172414/127023/Scomber scombrus"	"1"	"NA/19/2021/10011/30-54-38054-makrell/172414/127023/Scomber scombrus-1"	1e+05	209319	12.899	27	"1"	"F"
"NA/19/2021/10011/30"	"55"	"38055"	"makrell/172414/127023/Scomber scombrus"	"1"	"NA/19/2021/10011/30-55-38055-makrell/172414/127023/Scomber scombrus-1"	75000	160071	11.245	24	"1"	"F"
"NA/19/2021/10011/30"	"56"	"38056"	"makrell/172414/127023/Scomber scombrus"	"1"	"NA/19/2021/10011/30-56-38056-makrell/172414/127023/Scomber scombrus-1"	60000	131558	6.385	14	"1"	"F"
