"Age"	"Iteration"	"MeanIndividualLength"	"StratumTransfer"
14	22	28.418379352557	"Transfer.area"
15	22	28.425050291404	"Transfer.area"
1	23	22.891801053816	"Transfer.area"
2	23	25.737241997772	"Transfer.area"
3	23	27.444421055989	"Transfer.area"
4	23	27.796585706869	"Transfer.area"
5	23	28.691295039339	"Transfer.area"
6	23	29.16036726306	"Transfer.area"
7	23	29.315075344742	"Transfer.area"
8	23	28.637056248864	"Transfer.area"
9	23	29.243727178268	"Transfer.area"
10	23	29.289019934633	"Transfer.area"
11	23	29.596123377054	"Transfer.area"
12	23	0	"Transfer.area"
13	23	0	"Transfer.area"
14	23	29.225222817216	"Transfer.area"
15	23	29.11645956876	"Transfer.area"
1	24	21.717221047844	"Transfer.area"
2	24	25.095209304587	"Transfer.area"
3	24	26.806898656635	"Transfer.area"
4	24	27.761912516202	"Transfer.area"
5	24	28.183274454959	"Transfer.area"
6	24	28.489674671921	"Transfer.area"
7	24	28.565801531038	"Transfer.area"
8	24	28.648720481464	"Transfer.area"
9	24	28.702105295883	"Transfer.area"
10	24	28.727263663524	"Transfer.area"
11	24	0	"Transfer.area"
12	24	0	"Transfer.area"
13	24	0	"Transfer.area"
14	24	28.701451335078	"Transfer.area"
15	24	28.771669784463	"Transfer.area"
1	25	22.742844933122	"Transfer.area"
2	25	25.834161977027	"Transfer.area"
3	25	27.434533044819	"Transfer.area"
4	25	28.019457888564	"Transfer.area"
5	25	28.518152831342	"Transfer.area"
6	25	28.877987379227	"Transfer.area"
7	25	28.968826433925	"Transfer.area"
8	25	29.02852555873	"Transfer.area"
9	25	28.980672419081	"Transfer.area"
10	25	29.12652672329	"Transfer.area"
11	25	0	"Transfer.area"
12	25	0	"Transfer.area"
13	25	0	"Transfer.area"
14	25	29.020204385341	"Transfer.area"
15	25	28.803814208468	"Transfer.area"
1	26	22.537777219233	"Transfer.area"
2	26	25.624434788941	"Transfer.area"
3	26	27.2251400311	"Transfer.area"
