"missiontype"	"startyear"	"platform"	"missionnumber"	"serialnumber"	"nation"	"catchplatform"	"station"	"fixedstation"	"stationstartdate"	"stationstarttime"	"stationstopdate"	"stationstoptime"	"stationtype"	"latitudestart"	"longitudestart"	"latitudeend"	"longitudeend"	"system"	"area"	"location"	"bottomdepthstart"	"bottomdepthstop"	"bottomdepthmean"	"fishingdepthstart"	"fishingdepthstop"	"fishingdepthcount"	"fishingdepthmax"	"fishingdepthmin"	"fishingdepthmean"	"fishingdepthtemperature"	"gearno"	"sweeplength"	"gear"	"gearcount"	"direction"	"gearflow"	"vesselspeed"	"logstart"	"logstop"	"distance"	"gearcondition"	"samplequality"	"verticaltrawlopening"	"verticaltrawlopeningsd"	"trawldoortype"	"trawldoorarea"	"trawldoorweight"	"trawldoorspread"	"trawldoorspreadsd"	"wingspread"	"wingspreadsd"	"wirelength"	"wirediameter"	"wiredensity"	"soaktime"	"fishingbait"	"tripno"	"fishabundance"	"fishdistribution"	"landingsite"	"fishingground"	"vesselcount"	"dataquality"	"haulvalidity"	"flora"	"vegetationcover"	"visibility"	"waterlevel"	"winddirection"	"windspeed"	"clouds"	"sea"	"weather"	"stationcomment"
"19"	2021	"10011"	30	38041	"58"	"2616"	41	NA	"2021-08-21Z"	"10:28:00.000Z"	"2021-08-21Z"	"13:14:00.000Z"	NA	65.1671	2.70001	65.2001	2.683	"2"	"34"	"5"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"3700"	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"This row was created by ERS viewer."
"19"	2021	"10011"	30	38042	"58"	"2889"	42	NA	"2021-09-01Z"	"15:05:00.000Z"	"2021-09-01Z"	"17:22:00.000Z"	NA	63.8501	1.60001	63.833	1.60001	"2"	"30"	"9"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"3100"	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"This row was created by ERS viewer."
"19"	2021	"10011"	30	38043	"58"	"3319"	43	NA	"2021-08-26Z"	"16:05:00.000Z"	"2021-08-26Z"	"17:06:00.000Z"	NA	64.383	2.15	64.383	2.15	"2"	"30"	"14"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"3700"	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"This row was created by ERS viewer."
"19"	2021	"10011"	30	38044	"58"	"9125"	44	NA	"2021-09-01Z"	"11:28:00.000Z"	"2021-09-01Z"	"14:28:00.000Z"	NA	63.9	1.68301	63.9	1.7	"2"	"30"	"9"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"3700"	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"This row was created by ERS viewer."
"19"	2021	"10011"	30	38045	"58"	"3222"	45	NA	"2021-08-31Z"	"14:10:00.000Z"	"2021-08-31Z"	"15:49:00.000Z"	NA	61.9501	1.45	61.9501	1.45	"2"	"42"	"84"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"3700"	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"This row was created by ERS viewer."
"19"	2021	"10011"	30	38046	"58"	"3672"	46	NA	"2021-08-09Z"	"05:20:00.000Z"	"2021-08-09Z"	"10:02:00.000Z"	NA	65.1	0.983	65.2331	1.16701	"2"	"34"	"4"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"3500"	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"This row was created by ERS viewer."
"19"	2021	"10011"	30	38047	"58"	"3627"	47	NA	"2021-08-30Z"	"18:01:00.000Z"	"2021-08-30Z"	"20:21:00.000Z"	NA	62.2681	1.74701	62.122	2.162	"2"	"30"	"4"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"3500"	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"This row was created by ERS viewer."
"19"	2021	"10011"	30	38048	"58"	"10161"	48	NA	"2021-09-10Z"	"17:53:00.000Z"	"2021-09-10Z"	"19:22:00.000Z"	NA	64.1831	0.800001	64.1671	0.817	"2"	"30"	"13"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"3700"	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"This row was created by ERS viewer."
"19"	2021	"10011"	30	38049	"58"	"3222"	49	NA	"2021-10-16Z"	"00:37:00.000Z"	"2021-10-16Z"	"06:24:00.000Z"	NA	62.7831	4.483	62.9501	5.01701	"2"	"07"	"15"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"3500"	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"This row was created by ERS viewer."
"19"	2021	"10011"	30	38050	"58"	"3322"	50	NA	"2021-10-18Z"	"23:26:00.000Z"	"2021-10-19Z"	"01:42:00.000Z"	NA	62.717	4.31701	62.717	4.3	"2"	"07"	"15"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"3500"	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"This row was created by ERS viewer."
