"CruiseKey"	"StationKey"	"HaulKey"	"SpeciesCategoryKey"	"SpeciesCategory"
"NA/19/2020/9000/10"	"107"	"39107"	"sild'G03/161722.G03/126417/Clupea harengus"	"sild'G03/161722.G03/126417/Clupea harengus"
"NA/19/2020/9000/10"	"107"	"39107"	"kolmule/164774/126439/NA"	"kolmule/164774/126439/NA"
"NA/19/2020/9000/10"	"108"	"39108"	"sild'G03/161722.G03/126417/Clupea harengus"	"sild'G03/161722.G03/126417/Clupea harengus"
"NA/19/2020/9000/10"	"108"	"39108"	"kolmule/164774/126439/NA"	"kolmule/164774/126439/NA"
"NA/19/2020/9000/10"	"109"	"39109"	"sild'G03/161722.G03/126417/Clupea harengus"	"sild'G03/161722.G03/126417/Clupea harengus"
"NA/19/2020/9000/10"	"110"	"39110"	"sild'G03/161722.G03/126417/Clupea harengus"	"sild'G03/161722.G03/126417/Clupea harengus"
"NA/19/2020/9000/10"	"111"	"39111"	"sild'G03/161722.G03/126417/Clupea harengus"	"sild'G03/161722.G03/126417/Clupea harengus"
"NA/19/2020/9000/10"	"112"	"39112"	"sild'G03/161722.G03/126417/Clupea harengus"	"sild'G03/161722.G03/126417/Clupea harengus"
"NA/19/2020/9000/10"	"113"	"39113"	"sild'G03/161722.G03/126417/Clupea harengus"	"sild'G03/161722.G03/126417/Clupea harengus"
"NA/19/2020/9000/10"	"114"	"39114"	"sild'G03/161722.G03/126417/Clupea harengus"	"sild'G03/161722.G03/126417/Clupea harengus"
"NA/19/2020/9000/10"	"115"	"39115"	"sild'G03/161722.G03/126417/Clupea harengus"	"sild'G03/161722.G03/126417/Clupea harengus"
"NA/19/2020/9000/10"	"116"	"39116"	"sild'G03/161722.G03/126417/Clupea harengus"	"sild'G03/161722.G03/126417/Clupea harengus"
"NA/19/2020/9000/10"	"117"	"39117"	"sild'G03/161722.G03/126417/Clupea harengus"	"sild'G03/161722.G03/126417/Clupea harengus"
"NA/19/2020/9000/10"	"118"	"39118"	"sild'G03/161722.G03/126417/Clupea harengus"	"sild'G03/161722.G03/126417/Clupea harengus"
"NA/19/2021/10024/10"	"1"	"39001"	"sild'G03/161722.G03/126417/Clupea harengus"	"sild'G03/161722.G03/126417/Clupea harengus"
"NA/19/2021/10024/10"	"2"	"39002"	"sild'G03/161722.G03/126417/Clupea harengus"	"sild'G03/161722.G03/126417/Clupea harengus"
"NA/19/2021/10024/10"	"3"	"39003"	"sild'G03/161722.G03/126417/Clupea harengus"	"sild'G03/161722.G03/126417/Clupea harengus"
"NA/19/2021/10024/10"	"4"	"39004"	"sild'G03/161722.G03/126417/Clupea harengus"	"sild'G03/161722.G03/126417/Clupea harengus"
"NA/19/2021/10024/10"	"5"	"39005"	"sild'G03/161722.G03/126417/Clupea harengus"	"sild'G03/161722.G03/126417/Clupea harengus"
"NA/19/2021/10024/10"	"6"	"39006"	"sild'G03/161722.G03/126417/Clupea harengus"	"sild'G03/161722.G03/126417/Clupea harengus"
"NA/19/2021/10024/10"	"7"	"39007"	"sild'G03/161722.G03/126417/Clupea harengus"	"sild'G03/161722.G03/126417/Clupea harengus"
"NA/19/2021/10024/10"	"8"	"39008"	"sild'G03/161722.G03/126417/Clupea harengus"	"sild'G03/161722.G03/126417/Clupea harengus"
"NA/19/2021/10024/10"	"9"	"39009"	"sild'G03/161722.G03/126417/Clupea harengus"	"sild'G03/161722.G03/126417/Clupea harengus"
"NA/19/2021/10024/10"	"10"	"39010"	"sild'G03/161722.G03/126417/Clupea harengus"	"sild'G03/161722.G03/126417/Clupea harengus"
"NA/19/2021/10024/10"	"11"	"39011"	"sild'G03/161722.G03/126417/Clupea harengus"	"sild'G03/161722.G03/126417/Clupea harengus"
