"CruiseKey"	"StationKey"	"HaulKey"	"Haul"	"Gear"	"TowDistance"	"EffectiveTowDistance"	"MinHaulDepth"	"MaxHaulDepth"	"VerticalNetOpening"	"HorizontalNetOpening"	"TrawlDoorSpread"
"NA/19/2020/9000/10"	"71"	"39071"	"NA/19/2020/9000/10-71-39071"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2020/9000/10"	"72"	"39072"	"NA/19/2020/9000/10-72-39072"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2020/9000/10"	"73"	"39073"	"NA/19/2020/9000/10-73-39073"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2020/9000/10"	"74"	"39074"	"NA/19/2020/9000/10-74-39074"	"3500"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2020/9000/10"	"75"	"39075"	"NA/19/2020/9000/10-75-39075"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2020/9000/10"	"76"	"39076"	"NA/19/2020/9000/10-76-39076"	"3500"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2020/9000/10"	"77"	"39077"	"NA/19/2020/9000/10-77-39077"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2020/9000/10"	"78"	"39078"	"NA/19/2020/9000/10-78-39078"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2020/9000/10"	"80"	"39080"	"NA/19/2020/9000/10-80-39080"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2020/9000/10"	"81"	"39081"	"NA/19/2020/9000/10-81-39081"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2020/9000/10"	"82"	"39098"	"NA/19/2020/9000/10-82-39098"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2020/9000/10"	"83"	"39083"	"NA/19/2020/9000/10-83-39083"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2020/9000/10"	"84"	"39084"	"NA/19/2020/9000/10-84-39084"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2020/9000/10"	"85"	"39085"	"NA/19/2020/9000/10-85-39085"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2020/9000/10"	"86"	"39086"	"NA/19/2020/9000/10-86-39086"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2020/9000/10"	"87"	"39087"	"NA/19/2020/9000/10-87-39087"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2020/9000/10"	"88"	"39088"	"NA/19/2020/9000/10-88-39088"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2020/9000/10"	"89"	"39089"	"NA/19/2020/9000/10-89-39089"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2020/9000/10"	"90"	"39090"	"NA/19/2020/9000/10-90-39090"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2020/9000/10"	"91"	"39091"	"NA/19/2020/9000/10-91-39091"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2020/9000/10"	"92"	"39092"	"NA/19/2020/9000/10-92-39092"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2020/9000/10"	"93"	"39093"	"NA/19/2020/9000/10-93-39093"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2020/9000/10"	"94"	"39094"	"NA/19/2020/9000/10-94-39094"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2020/9000/10"	"95"	"39095"	"NA/19/2020/9000/10-95-39095"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2020/9000/10"	"96"	"39096"	"NA/19/2020/9000/10-96-39096"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2020/9000/10"	"97"	"39097"	"NA/19/2020/9000/10-97-39097"	"3700"	NA	NA	NA	NA	NA	NA	NA
