"age"	"part.year"	"lengthCM"	"samplingID"	"partnumber"	"otolithtype"	"partcount"
NA	0.423497267759563	21.5	5	1	NA	NA
NA	0.423497267759563	24	5	1	NA	NA
NA	0.423497267759563	19	5	1	NA	NA
NA	0.423497267759563	22.5	5	1	NA	NA
NA	0.423497267759563	18.5	5	1	NA	NA
NA	0.423497267759563	18	5	1	NA	NA
NA	0.423497267759563	25	5	1	NA	NA
NA	0.423497267759563	22	5	1	NA	NA
NA	0.423497267759563	18	5	1	NA	NA
NA	0.423497267759563	18.5	5	1	NA	NA
NA	0.423497267759563	18.5	5	1	NA	NA
NA	0.423497267759563	22.5	5	1	NA	NA
NA	0.423497267759563	22.5	5	1	NA	NA
NA	0.423497267759563	21.5	5	1	NA	NA
NA	0.423497267759563	19	5	1	NA	NA
NA	0.423497267759563	19.5	5	1	NA	NA
NA	0.423497267759563	21.5	5	1	NA	NA
NA	0.423497267759563	19	5	1	NA	NA
3	0.494535519125683	27	6	1	NA	NA
7	0.494535519125683	27.5	6	1	NA	NA
4	0.494535519125683	27	6	1	NA	NA
3	0.494535519125683	28	6	1	NA	NA
3	0.494535519125683	29	6	1	NA	NA
7	0.494535519125683	27.5	6	1	NA	NA
3	0.494535519125683	24.5	6	1	NA	NA
10	0.494535519125683	28	6	1	NA	NA
3	0.494535519125683	29	6	1	NA	NA
3	0.494535519125683	25	6	1	NA	NA
4	0.494535519125683	27	6	1	NA	NA
4	0.494535519125683	27.5	6	1	NA	NA
4	0.494535519125683	28.5	6	1	NA	NA
5	0.494535519125683	29	6	1	NA	NA
9	0.494535519125683	29	6	1	NA	NA
5	0.494535519125683	26.5	6	1	NA	NA
6	0.494535519125683	26.5	6	1	NA	NA
10	0.494535519125683	30	6	1	NA	NA
4	0.494535519125683	29.5	6	1	NA	NA
3	0.494535519125683	27.5	6	1	NA	NA
4	0.494535519125683	29	6	1	NA	NA
4	0.494535519125683	26.5	6	1	NA	NA
4	0.494535519125683	28	6	1	NA	NA
7	0.494535519125683	27.5	6	1	NA	NA
3	0.494535519125683	24	6	1	NA	NA
6	0.494535519125683	29.5	6	1	NA	NA
7	0.494535519125683	27	6	1	NA	NA
3	0.494535519125683	27	6	1	NA	NA
3	0.494535519125683	28	6	1	NA	NA
3	0.494535519125683	28	6	1	NA	NA
3	0.494535519125683	27	6	1	NA	NA
5	0.494535519125683	26.5	6	1	NA	NA
7	0.494535519125683	27	6	1	NA	NA
7	0.494535519125683	28	6	1	NA	NA
3	0.494535519125683	28.5	6	1	NA	NA
9	0.494535519125683	27.5	6	1	NA	NA
4	0.494535519125683	29.5	6	1	NA	NA
9	0.494535519125683	27.5	6	1	NA	NA
4	0.494535519125683	27.5	6	1	NA	NA
5	0.439890710382514	26	7	1	NA	NA
4	0.439890710382514	27	7	1	NA	NA
5	0.439890710382514	27.5	7	1	NA	NA
9	0.439890710382514	27.5	7	1	NA	NA
6	0.439890710382514	28	7	1	NA	NA
3	0.439890710382514	25.5	7	1	NA	NA
5	0.439890710382514	24.5	7	1	NA	NA
2	0.439890710382514	23	7	1	NA	NA
5	0.439890710382514	27	7	1	NA	NA
5	0.439890710382514	28	7	1	NA	NA
2	0.439890710382514	23.5	7	1	NA	NA
4	0.439890710382514	28	7	1	NA	NA
7	0.439890710382514	26.5	7	1	NA	NA
4	0.439890710382514	25	7	1	NA	NA
3	0.439890710382514	26	7	1	NA	NA
4	0.439890710382514	25.5	7	1	NA	NA
5	0.439890710382514	27	7	1	NA	NA
3	0.439890710382514	27	7	1	NA	NA
5	0.439890710382514	29	7	1	NA	NA
5	0.439890710382514	28	7	1	NA	NA
5	0.439890710382514	26	7	1	NA	NA
3	0.439890710382514	27	7	1	NA	NA
3	0.439890710382514	25.5	7	1	NA	NA
2	0.439890710382514	23	7	1	NA	NA
10	0.439890710382514	29	7	1	NA	NA
3	0.439890710382514	26	7	1	NA	NA
9	0.439890710382514	28.5	7	1	NA	NA
4	0.439890710382514	26	7	1	NA	NA
5	0.439890710382514	26	7	1	NA	NA
9	0.439890710382514	28	7	1	NA	NA
3	0.439890710382514	26	7	1	NA	NA
3	0.439890710382514	25	7	1	NA	NA
3	0.439890710382514	23	7	1	NA	NA
7	0.439890710382514	28	7	1	NA	NA
5	0.439890710382514	27	7	1	NA	NA
2	0.439890710382514	25	7	1	NA	NA
4	0.439890710382514	29	7	1	NA	NA
5	0.612021857923497	28	8	1	NA	NA
1	0.612021857923497	20	8	1	NA	NA
10	0.612021857923497	29.5	8	1	NA	NA
1	0.612021857923497	19	8	1	NA	NA
4	0.612021857923497	25	8	1	NA	NA
1	0.612021857923497	22	8	1	NA	NA
2	0.612021857923497	20.5	8	1	NA	NA
1	0.612021857923497	19.5	8	1	NA	NA
1	0.612021857923497	21	8	1	NA	NA
9	0.612021857923497	29	8	1	NA	NA
7	0.612021857923497	26.5	8	1	NA	NA
10	0.612021857923497	28	8	1	NA	NA
3	0.612021857923497	22	8	1	NA	NA
4	0.612021857923497	24	8	1	NA	NA
1	0.612021857923497	20	8	1	NA	NA
4	0.612021857923497	25	8	1	NA	NA
1	0.612021857923497	19	8	1	NA	NA
2	0.612021857923497	20.5	8	1	NA	NA
2	0.612021857923497	21.5	8	1	NA	NA
5	0.612021857923497	29	8	1	NA	NA
5	0.612021857923497	26	8	1	NA	NA
3	0.612021857923497	25.5	8	1	NA	NA
6	0.612021857923497	26.5	8	1	NA	NA
5	0.612021857923497	26.5	8	1	NA	NA
2	0.612021857923497	21	8	1	NA	NA
10	0.612021857923497	27.5	8	1	NA	NA
1	0.612021857923497	20	8	1	NA	NA
1	0.612021857923497	21	8	1	NA	NA
3	0.612021857923497	28.5	8	1	NA	NA
1	0.612021857923497	20	8	1	NA	NA
1	0.612021857923497	19.5	8	1	NA	NA
10	0.612021857923497	28	8	1	NA	NA
4	0.612021857923497	28.5	8	1	NA	NA
2	0.612021857923497	21	8	1	NA	NA
1	0.612021857923497	21	8	1	NA	NA
1	0.612021857923497	18.5	8	1	NA	NA
2	0.612021857923497	21.5	8	1	NA	NA
2	0.612021857923497	22.5	8	1	NA	NA
2	0.612021857923497	21	8	1	NA	NA
1	0.612021857923497	20	8	1	NA	NA
2	0.612021857923497	24.5	8	1	NA	NA
1	0.612021857923497	19	8	1	NA	NA
1	0.612021857923497	19.5	8	1	NA	NA
1	0.612021857923497	20.5	8	1	NA	NA
1	0.612021857923497	19.5	8	1	NA	NA
1	0.612021857923497	20	8	1	NA	NA
12	0.612021857923497	29	8	1	NA	NA
2	0.612021857923497	22	8	1	NA	NA
1	0.612021857923497	20	8	1	NA	NA
3	0.612021857923497	24	8	1	NA	NA
NA	0.612021857923497	20	8	1	NA	NA
NA	0.612021857923497	28.5	8	1	NA	NA
NA	0.612021857923497	21	8	1	NA	NA
NA	0.612021857923497	18.5	8	1	NA	NA
NA	0.612021857923497	26.5	8	1	NA	NA
NA	0.612021857923497	21.5	8	1	NA	NA
NA	0.612021857923497	21.5	8	1	NA	NA
NA	0.612021857923497	20	8	1	NA	NA
NA	0.612021857923497	26	8	1	NA	NA
NA	0.612021857923497	26.5	8	1	NA	NA
NA	0.612021857923497	18.5	8	1	NA	NA
NA	0.612021857923497	18.5	8	1	NA	NA
NA	0.612021857923497	28	8	1	NA	NA
NA	0.612021857923497	20	8	1	NA	NA
NA	0.612021857923497	20	8	1	NA	NA
NA	0.612021857923497	18.5	8	1	NA	NA
NA	0.612021857923497	18.5	8	1	NA	NA
NA	0.612021857923497	20	8	1	NA	NA
NA	0.612021857923497	19.5	8	1	NA	NA
NA	0.612021857923497	20	8	1	NA	NA
NA	0.612021857923497	29	8	1	NA	NA
NA	0.612021857923497	17.5	8	1	NA	NA
NA	0.612021857923497	19.5	8	1	NA	NA
NA	0.612021857923497	18.5	8	1	NA	NA
NA	0.612021857923497	18	8	1	NA	NA
NA	0.612021857923497	18.5	8	1	NA	NA
NA	0.612021857923497	21	8	1	NA	NA
NA	0.612021857923497	19	8	1	NA	NA
NA	0.612021857923497	21	8	1	NA	NA
NA	0.612021857923497	20	8	1	NA	NA
NA	0.612021857923497	26.5	8	1	NA	NA
NA	0.612021857923497	20.5	8	1	NA	NA
NA	0.612021857923497	20.5	8	1	NA	NA
NA	0.612021857923497	20.5	8	1	NA	NA
NA	0.612021857923497	25	8	1	NA	NA
NA	0.612021857923497	18.5	8	1	NA	NA
NA	0.612021857923497	19	8	1	NA	NA
NA	0.612021857923497	20.5	8	1	NA	NA
NA	0.612021857923497	20	8	1	NA	NA
NA	0.612021857923497	18.5	8	1	NA	NA
NA	0.612021857923497	20	8	1	NA	NA
NA	0.612021857923497	19.5	8	1	NA	NA
NA	0.612021857923497	20	8	1	NA	NA
NA	0.612021857923497	20	8	1	NA	NA
NA	0.612021857923497	19.5	8	1	NA	NA
NA	0.612021857923497	20	8	1	NA	NA
2	0.475409836065574	24.5	9	1	NA	NA
2	0.475409836065574	23	9	1	NA	NA
6	0.475409836065574	27.5	9	1	NA	NA
5	0.475409836065574	26	9	1	NA	NA
4	0.475409836065574	25	9	1	NA	NA
4	0.475409836065574	25.5	9	1	NA	NA
3	0.475409836065574	24	9	1	NA	NA
5	0.475409836065574	26	9	1	NA	NA
4	0.475409836065574	28	9	1	NA	NA
5	0.475409836065574	26.5	9	1	NA	NA
4	0.475409836065574	24.5	9	1	NA	NA
5	0.475409836065574	25	9	1	NA	NA
3	0.475409836065574	25	9	1	NA	NA
5	0.475409836065574	27.5	9	1	NA	NA
2	0.475409836065574	23.5	9	1	NA	NA
5	0.475409836065574	27	9	1	NA	NA
3	0.475409836065574	26	9	1	NA	NA
3	0.475409836065574	25	9	1	NA	NA
5	0.475409836065574	25.5	9	1	NA	NA
3	0.475409836065574	25	9	1	NA	NA
2	0.475409836065574	24.5	9	1	NA	NA
2	0.475409836065574	23	9	1	NA	NA
3	0.475409836065574	23.5	9	1	NA	NA
2	0.475409836065574	24	9	1	NA	NA
