"Age"	"Iteration"	"MeanIndividualLength"	"Stratum"	"Quarter"
6	16	28.635156016571	"27.4.aE"	"Q4"
7	16	28.790579350008	"27.4.aE"	"Q4"
8	16	28.882437099285	"27.4.aE"	"Q4"
9	16	28.936830540102	"27.4.aE"	"Q4"
10	16	28.969075737569	"27.4.aE"	"Q4"
11	16	28.988203809033	"27.4.aE"	"Q4"
12	16	28.999555156701	"27.4.aE"	"Q4"
13	16	0	"27.4.aE"	"Q4"
1	17	22.844077252899	"27.4.aE"	"Q4"
2	17	25.355310866109	"27.4.aE"	"Q4"
3	17	26.738335661554	"27.4.aE"	"Q4"
4	17	27.530221823293	"27.4.aE"	"Q4"
5	17	27.992375060845	"27.4.aE"	"Q4"
6	17	28.264873059851	"27.4.aE"	"Q4"
7	17	28.426475131832	"27.4.aE"	"Q4"
8	17	28.522631303268	"27.4.aE"	"Q4"
9	17	28.57995769461	"27.4.aE"	"Q4"
10	17	28.614173944263	"27.4.aE"	"Q4"
11	17	28.634610476015	"27.4.aE"	"Q4"
12	17	28.646821688169	"27.4.aE"	"Q4"
13	17	28.654119888615	"27.4.aE"	"Q4"
1	18	23.847703281304	"27.4.aE"	"Q4"
2	18	26.499303850262	"27.4.aE"	"Q4"
3	18	27.9382170113	"27.4.aE"	"Q4"
4	18	28.748291909315	"27.4.aE"	"Q4"
5	18	29.212547976884	"27.4.aE"	"Q4"
6	18	29.481138277714	"27.4.aE"	"Q4"
7	18	29.637342811057	"27.4.aE"	"Q4"
8	18	29.728456781857	"27.4.aE"	"Q4"
9	18	29.781694192862	"27.4.aE"	"Q4"
10	18	29.812831283642	"27.4.aE"	"Q4"
11	18	29.831052985031	"27.4.aE"	"Q4"
12	18	29.841720065774	"27.4.aE"	"Q4"
13	18	29.847965856522	"27.4.aE"	"Q4"
1	19	23.317152828999	"27.4.aE"	"Q4"
2	19	25.920666554705	"27.4.aE"	"Q4"
3	19	27.331433762126	"27.4.aE"	"Q4"
4	19	28.124235272386	"27.4.aE"	"Q4"
5	19	28.577687907051	"27.4.aE"	"Q4"
6	19	28.839475417992	"27.4.aE"	"Q4"
7	19	28.991391687804	"27.4.aE"	"Q4"
8	19	29.079806885402	"27.4.aE"	"Q4"
9	19	29.131350719341	"27.4.aE"	"Q4"
10	19	29.161428581789	"27.4.aE"	"Q4"
11	19	29.178990073443	"27.4.aE"	"Q4"
12	19	29.189247018035	"27.4.aE"	"Q4"
13	19	29.195238820969	"27.4.aE"	"Q4"
1	20	23.489057098258	"27.4.aE"	"Q4"
2	20	26.054972711591	"27.4.aE"	"Q4"
3	20	27.462921910457	"27.4.aE"	"Q4"
4	20	28.26601055289	"27.4.aE"	"Q4"
5	20	28.732864791323	"27.4.aE"	"Q4"
6	20	29.007030934043	"27.4.aE"	"Q4"
7	20	29.168959068387	"27.4.aE"	"Q4"
8	20	29.264911249352	"27.4.aE"	"Q4"
9	20	29.321877577462	"27.4.aE"	"Q4"
10	20	29.355736285165	"27.4.aE"	"Q4"
11	20	29.37587405961	"27.4.aE"	"Q4"
12	20	29.387855909295	"27.4.aE"	"Q4"
13	20	29.394986704939	"27.4.aE"	"Q4"
1	21	23.41857482212	"27.4.aE"	"Q4"
2	21	25.966162991999	"27.4.aE"	"Q4"
3	21	27.364099697349	"27.4.aE"	"Q4"
4	21	28.161648231034	"27.4.aE"	"Q4"
5	21	28.625425003512	"27.4.aE"	"Q4"
6	21	28.897882541651	"27.4.aE"	"Q4"
7	21	29.058864993579	"27.4.aE"	"Q4"
8	21	29.154296290198	"27.4.aE"	"Q4"
9	21	29.21097751883	"27.4.aE"	"Q4"
10	21	29.244681389932	"27.4.aE"	"Q4"
11	21	29.264735867161	"27.4.aE"	"Q4"
12	21	29.276673425821	"27.4.aE"	"Q4"
13	21	29.283781013806	"27.4.aE"	"Q4"
1	22	23.050612429536	"27.4.aE"	"Q4"
2	22	25.545468937311	"27.4.aE"	"Q4"
3	22	26.911721830108	"27.4.aE"	"Q4"
4	22	27.689626723296	"27.4.aE"	"Q4"
5	22	28.141059237179	"27.4.aE"	"Q4"
6	22	28.405716856834	"27.4.aE"	"Q4"
7	22	28.561763537802	"27.4.aE"	"Q4"
8	22	28.65407340968	"27.4.aE"	"Q4"
9	22	28.708783949204	"27.4.aE"	"Q4"
10	22	28.7412463702	"27.4.aE"	"Q4"
11	22	28.760520655036	"27.4.aE"	"Q4"
12	22	28.771969080948	"27.4.aE"	"Q4"
13	22	28.778770728939	"27.4.aE"	"Q4"
1	23	22.882526857768	"27.4.aE"	"Q4"
2	23	25.37931146583	"27.4.aE"	"Q4"
3	23	26.735027297752	"27.4.aE"	"Q4"
4	23	27.499404161698	"27.4.aE"	"Q4"
5	23	27.938326652832	"27.4.aE"	"Q4"
6	23	28.192823143253	"27.4.aE"	"Q4"
7	23	28.341182130428	"27.4.aE"	"Q4"
8	23	28.427933272593	"27.4.aE"	"Q4"
9	23	28.478749528585	"27.4.aE"	"Q4"
10	23	28.508546706943	"27.4.aE"	"Q4"
11	23	28.5260293577	"27.4.aE"	"Q4"
12	23	28.536290396677	"27.4.aE"	"Q4"
13	23	28.542314111528	"27.4.aE"	"Q4"
1	24	23.09547804606	"27.4.aE"	"Q4"
2	24	25.575312039651	"27.4.aE"	"Q4"
3	24	26.921417421122	"27.4.aE"	"Q4"
4	24	27.68064666876	"27.4.aE"	"Q4"
5	24	28.116913545509	"27.4.aE"	"Q4"
6	24	28.370090952781	"27.4.aE"	"Q4"
7	24	28.517825513	"27.4.aE"	"Q4"
8	24	28.604301632395	"27.4.aE"	"Q4"
9	24	28.65501157704	"27.4.aE"	"Q4"
10	24	28.684779278076	"27.4.aE"	"Q4"
11	24	28.702264186424	"27.4.aE"	"Q4"
12	24	28.712538129665	"27.4.aE"	"Q4"
13	24	28.718576257711	"27.4.aE"	"Q4"
1	25	23.599895316052	"27.4.aE"	"Q4"
2	25	26.129066362124	"27.4.aE"	"Q4"
3	25	27.507239720686	"27.4.aE"	"Q4"
4	25	28.287941880944	"27.4.aE"	"Q4"
5	25	28.738638136053	"27.4.aE"	"Q4"
6	25	29.001460169221	"27.4.aE"	"Q4"
7	25	29.155588225892	"27.4.aE"	"Q4"
8	25	29.246265311753	"27.4.aE"	"Q4"
9	25	29.299712213279	"27.4.aE"	"Q4"
10	25	29.331249207248	"27.4.aE"	"Q4"
11	25	29.349869890241	"27.4.aE"	"Q4"
12	25	29.360868411573	"27.4.aE"	"Q4"
13	25	29.367366256306	"27.4.aE"	"Q4"
1	26	23.397686414871	"27.4.aE"	"Q4"
2	26	25.899878305449	"27.4.aE"	"Q4"
