"Age"	"Iteration"	"MeanIndividualWeight"	"Stratum"	"Quarter"
10	29	0.193689390532	"27.4.aE"	"Q4"
11	29	0.194059398907	"27.4.aE"	"Q4"
12	29	0.194279697626	"27.4.aE"	"Q4"
13	29	0	"27.4.aE"	"Q4"
1	30	0.101921781439	"27.4.aE"	"Q4"
2	30	0.135119730067	"27.4.aE"	"Q4"
3	30	0.156124775302	"27.4.aE"	"Q4"
4	30	0.169120170546	"27.4.aE"	"Q4"
5	30	0.177071086207	"27.4.aE"	"Q4"
6	30	0.181906383636	"27.4.aE"	"Q4"
7	30	0.18483688773	"27.4.aE"	"Q4"
8	30	0.186609429266	"27.4.aE"	"Q4"
9	30	0.187680306827	"27.4.aE"	"Q4"
10	30	0.188326822596	"27.4.aE"	"Q4"
11	30	0.18871697692	"27.4.aE"	"Q4"
12	30	0.188952365	"27.4.aE"	"Q4"
13	30	0.189094357955	"27.4.aE"	"Q4"
1	31	0.102918896054	"27.4.aE"	"Q4"
2	31	0.138386336539	"27.4.aE"	"Q4"
3	31	0.160806671045	"27.4.aE"	"Q4"
4	31	0.174573096288	"27.4.aE"	"Q4"
5	31	0.182905638872	"27.4.aE"	"Q4"
6	31	0.187910526652	"27.4.aE"	"Q4"
7	31	0.190903739906	"27.4.aE"	"Q4"
8	31	0.192689421255	"27.4.aE"	"Q4"
9	31	0.193753178304	"27.4.aE"	"Q4"
10	31	0.194386336171	"27.4.aE"	"Q4"
11	31	0.194763008518	"27.4.aE"	"Q4"
12	31	0.194987028366	"27.4.aE"	"Q4"
13	31	0.195120237123	"27.4.aE"	"Q4"
1	32	0.0976137738375	"27.4.aE"	"Q4"
2	32	0.130230801653	"27.4.aE"	"Q4"
3	32	0.150666587559	"27.4.aE"	"Q4"
4	32	0.16313113321	"27.4.aE"	"Q4"
5	32	0.170634084469	"27.4.aE"	"Q4"
6	32	0.175118664318	"27.4.aE"	"Q4"
7	32	0.177788575091	"27.4.aE"	"Q4"
8	32	0.179374524577	"27.4.aE"	"Q4"
9	32	0.18031535495	"27.4.aE"	"Q4"
10	32	0.180873053117	"27.4.aE"	"Q4"
11	32	0.181203491579	"27.4.aE"	"Q4"
12	32	0.181399225485	"27.4.aE"	"Q4"
13	32	0.181515149407	"27.4.aE"	"Q4"
1	33	0.0960517987571	"27.4.aE"	"Q4"
2	33	0.128771618183	"27.4.aE"	"Q4"
3	33	0.149030424537	"27.4.aE"	"Q4"
4	33	0.161192152188	"27.4.aE"	"Q4"
5	33	0.168384264401	"27.4.aE"	"Q4"
6	33	0.17260390118	"27.4.aE"	"Q4"
7	33	0.175068790274	"27.4.aE"	"Q4"
8	33	0.176505109259	"27.4.aE"	"Q4"
9	33	0.177340893642	"27.4.aE"	"Q4"
10	33	0.177826838198	"27.4.aE"	"Q4"
