"weightKG"	"lengthCM"	"samplingID"	"partnumber"	"otolithtype"	"partcount"
0.506	40	3	"NA/19/2020/9000/30_3_38003_1"	NA	NA
0.309	35	3	"NA/19/2020/9000/30_3_38003_1"	NA	NA
0.383	36	3	"NA/19/2020/9000/30_3_38003_1"	NA	NA
0.374	36	3	"NA/19/2020/9000/30_3_38003_1"	NA	NA
0.41	36.5	3	"NA/19/2020/9000/30_3_38003_1"	NA	NA
0.411	36.5	3	"NA/19/2020/9000/30_3_38003_1"	NA	NA
0.318	33.5	3	"NA/19/2020/9000/30_3_38003_1"	NA	NA
0.257	32.5	3	"NA/19/2020/9000/30_3_38003_1"	NA	NA
0.449	37.5	3	"NA/19/2020/9000/30_3_38003_1"	NA	NA
0.387	35	3	"NA/19/2020/9000/30_3_38003_1"	NA	NA
0.318	34.5	3	"NA/19/2020/9000/30_3_38003_1"	NA	NA
0.379	35.5	3	"NA/19/2020/9000/30_3_38003_1"	NA	NA
0.456	38	3	"NA/19/2020/9000/30_3_38003_1"	NA	NA
0.466	38.5	3	"NA/19/2020/9000/30_3_38003_1"	NA	NA
0.351	36	3	"NA/19/2020/9000/30_3_38003_1"	NA	NA
0.466	38.5	3	"NA/19/2020/9000/30_3_38003_1"	NA	NA
0.389	36	3	"NA/19/2020/9000/30_3_38003_1"	NA	NA
0.262	32.5	3	"NA/19/2020/9000/30_3_38003_1"	NA	NA
0.328	33	3	"NA/19/2020/9000/30_3_38003_1"	NA	NA
0.451	38	3	"NA/19/2020/9000/30_3_38003_1"	NA	NA
0.229	32.5	3	"NA/19/2020/9000/30_3_38003_1"	NA	NA
0.469	38.5	3	"NA/19/2020/9000/30_3_38003_1"	NA	NA
0.538	39.5	3	"NA/19/2020/9000/30_3_38003_1"	NA	NA
0.439	37	11	"NA/19/2020/9000/30_45_38045_1"	NA	NA
0.498	38.5	11	"NA/19/2020/9000/30_45_38045_1"	NA	NA
0.496	39	11	"NA/19/2020/9000/30_45_38045_1"	NA	NA
0.532	39	11	"NA/19/2020/9000/30_45_38045_1"	NA	NA
0.434	35.5	11	"NA/19/2020/9000/30_45_38045_1"	NA	NA
0.481	38.5	11	"NA/19/2020/9000/30_45_38045_1"	NA	NA
0.52	39	11	"NA/19/2020/9000/30_45_38045_1"	NA	NA
0.542	37.5	11	"NA/19/2020/9000/30_45_38045_1"	NA	NA
0.358	33	11	"NA/19/2020/9000/30_45_38045_1"	NA	NA
0.43	37	11	"NA/19/2020/9000/30_45_38045_1"	NA	NA
0.544	38	11	"NA/19/2020/9000/30_45_38045_1"	NA	NA
0.254	31.5	11	"NA/19/2020/9000/30_45_38045_1"	NA	NA
0.364	35.5	11	"NA/19/2020/9000/30_45_38045_1"	NA	NA
0.463	37.5	11	"NA/19/2020/9000/30_45_38045_1"	NA	NA
0.502	37.5	11	"NA/19/2020/9000/30_45_38045_1"	NA	NA
0.481	38	11	"NA/19/2020/9000/30_45_38045_1"	NA	NA
0.555	39.5	11	"NA/19/2020/9000/30_45_38045_1"	NA	NA
0.454	37	11	"NA/19/2020/9000/30_45_38045_1"	NA	NA
0.312	33.5	11	"NA/19/2020/9000/30_45_38045_1"	NA	NA
0.432	37	11	"NA/19/2020/9000/30_45_38045_1"	NA	NA
0.334	34	11	"NA/19/2020/9000/30_45_38045_1"	NA	NA
0.502	37.5	11	"NA/19/2020/9000/30_45_38045_1"	NA	NA
0.567	38.5	11	"NA/19/2020/9000/30_45_38045_1"	NA	NA
0.489	39	11	"NA/19/2020/9000/30_45_38045_1"	NA	NA
0.515	39	11	"NA/19/2020/9000/30_45_38045_1"	NA	NA
0.313	34	11	"NA/19/2020/9000/30_45_38045_1"	NA	NA
0.479	38	11	"NA/19/2020/9000/30_45_38045_1"	NA	NA
0.414	35	11	"NA/19/2020/9000/30_45_38045_1"	NA	NA
0.431	37.5	11	"NA/19/2020/9000/30_45_38045_1"	NA	NA
0.483	37	11	"NA/19/2020/9000/30_45_38045_1"	NA	NA
0.534	38.5	12	"NA/19/2020/9000/30_47_38047_3"	NA	NA
0.434	35.5	12	"NA/19/2020/9000/30_47_38047_3"	NA	NA
0.443	37.5	12	"NA/19/2020/9000/30_47_38047_3"	NA	NA
0.564	39	12	"NA/19/2020/9000/30_47_38047_3"	NA	NA
0.552	38.5	12	"NA/19/2020/9000/30_47_38047_3"	NA	NA
0.47	37.5	12	"NA/19/2020/9000/30_47_38047_3"	NA	NA
0.393	35	12	"NA/19/2020/9000/30_47_38047_3"	NA	NA
0.488	36	12	"NA/19/2020/9000/30_47_38047_3"	NA	NA
0.43	35.5	12	"NA/19/2020/9000/30_47_38047_3"	NA	NA
0.573	36	12	"NA/19/2020/9000/30_47_38047_3"	NA	NA
0.373	34	12	"NA/19/2020/9000/30_47_38047_3"	NA	NA
0.506	38.5	12	"NA/19/2020/9000/30_47_38047_3"	NA	NA
0.323	34	12	"NA/19/2020/9000/30_47_38047_3"	NA	NA
0.592	39	12	"NA/19/2020/9000/30_47_38047_3"	NA	NA
0.484	38	12	"NA/19/2020/9000/30_47_38047_3"	NA	NA
0.394	34.5	12	"NA/19/2020/9000/30_47_38047_3"	NA	NA
0.495	37.5	12	"NA/19/2020/9000/30_47_38047_3"	NA	NA
0.464	37	12	"NA/19/2020/9000/30_47_38047_3"	NA	NA
0.49	37	12	"NA/19/2020/9000/30_47_38047_3"	NA	NA
0.478	37	12	"NA/19/2020/9000/30_47_38047_3"	NA	NA
0.389	35	12	"NA/19/2020/9000/30_47_38047_3"	NA	NA
0.426	35.5	12	"NA/19/2020/9000/30_47_38047_3"	NA	NA
0.527	38.5	12	"NA/19/2020/9000/30_47_38047_3"	NA	NA
0.424	36.5	12	"NA/19/2020/9000/30_47_38047_3"	NA	NA
0.264	31	12	"NA/19/2020/9000/30_47_38047_3"	NA	NA
0.392	35.5	12	"NA/19/2020/9000/30_47_38047_3"	NA	NA
0.477	37	12	"NA/19/2020/9000/30_47_38047_3"	NA	NA
0.219	30.5	12	"NA/19/2020/9000/30_47_38047_3"	NA	NA
0.481	37.5	12	"NA/19/2020/9000/30_47_38047_3"	NA	NA
0.465	37.5	12	"NA/19/2020/9000/30_47_38047_3"	NA	NA
0.534	37.5	13	"NA/19/2020/9000/30_48_38048_3"	NA	NA
0.468	37.5	13	"NA/19/2020/9000/30_48_38048_3"	NA	NA
0.416	37.5	13	"NA/19/2020/9000/30_48_38048_3"	NA	NA
0.459	36.5	13	"NA/19/2020/9000/30_48_38048_3"	NA	NA
0.303	33	13	"NA/19/2020/9000/30_48_38048_3"	NA	NA
0.41	37	13	"NA/19/2020/9000/30_48_38048_3"	NA	NA
0.374	35.5	13	"NA/19/2020/9000/30_48_38048_3"	NA	NA
0.474	37	13	"NA/19/2020/9000/30_48_38048_3"	NA	NA
0.36	35	13	"NA/19/2020/9000/30_48_38048_3"	NA	NA
0.304	32.5	13	"NA/19/2020/9000/30_48_38048_3"	NA	NA
0.567	39.5	13	"NA/19/2020/9000/30_48_38048_3"	NA	NA
0.495	37.5	13	"NA/19/2020/9000/30_48_38048_3"	NA	NA
0.283	33	13	"NA/19/2020/9000/30_48_38048_3"	NA	NA
0.549	38	13	"NA/19/2020/9000/30_48_38048_3"	NA	NA
0.291	33	13	"NA/19/2020/9000/30_48_38048_3"	NA	NA
0.442	37.5	13	"NA/19/2020/9000/30_48_38048_3"	NA	NA
0.364	34	13	"NA/19/2020/9000/30_48_38048_3"	NA	NA
0.34	34	13	"NA/19/2020/9000/30_48_38048_3"	NA	NA
0.471	38.5	13	"NA/19/2020/9000/30_48_38048_3"	NA	NA
0.35	34.5	13	"NA/19/2020/9000/30_48_38048_3"	NA	NA
0.384	36	13	"NA/19/2020/9000/30_48_38048_3"	NA	NA
0.325	34	13	"NA/19/2020/9000/30_48_38048_3"	NA	NA
0.443	36	13	"NA/19/2020/9000/30_48_38048_3"	NA	NA
0.458	36.5	13	"NA/19/2020/9000/30_48_38048_3"	NA	NA
0.509	38.5	13	"NA/19/2020/9000/30_48_38048_3"	NA	NA
0.533	39.5	13	"NA/19/2020/9000/30_48_38048_3"	NA	NA
0.576	39	13	"NA/19/2020/9000/30_48_38048_3"	NA	NA
0.413	36.5	13	"NA/19/2020/9000/30_48_38048_3"	NA	NA
0.256	32.5	13	"NA/19/2020/9000/30_48_38048_3"	NA	NA
0.42	37	14	"NA/19/2020/9000/30_49_38049_2"	NA	NA
0.462	37	14	"NA/19/2020/9000/30_49_38049_2"	NA	NA
0.48	37	14	"NA/19/2020/9000/30_49_38049_2"	NA	NA
0.358	35	14	"NA/19/2020/9000/30_49_38049_2"	NA	NA
0.425	37.5	14	"NA/19/2020/9000/30_49_38049_2"	NA	NA
0.462	36.5	14	"NA/19/2020/9000/30_49_38049_2"	NA	NA
0.478	37	14	"NA/19/2020/9000/30_49_38049_2"	NA	NA
0.416	36	14	"NA/19/2020/9000/30_49_38049_2"	NA	NA
0.427	36.5	14	"NA/19/2020/9000/30_49_38049_2"	NA	NA
0.379	35.5	14	"NA/19/2020/9000/30_49_38049_2"	NA	NA
0.332	34	14	"NA/19/2020/9000/30_49_38049_2"	NA	NA
0.36	35.5	14	"NA/19/2020/9000/30_49_38049_2"	NA	NA
0.557	39	14	"NA/19/2020/9000/30_49_38049_2"	NA	NA
0.425	37	14	"NA/19/2020/9000/30_49_38049_2"	NA	NA
0.626	40.5	14	"NA/19/2020/9000/30_49_38049_2"	NA	NA
0.505	38.5	14	"NA/19/2020/9000/30_49_38049_2"	NA	NA
0.453	36.5	14	"NA/19/2020/9000/30_49_38049_2"	NA	NA
0.423	36	14	"NA/19/2020/9000/30_49_38049_2"	NA	NA
0.375	34	14	"NA/19/2020/9000/30_49_38049_2"	NA	NA
0.341	33.5	14	"NA/19/2020/9000/30_49_38049_2"	NA	NA
0.3	34.5	14	"NA/19/2020/9000/30_49_38049_2"	NA	NA
0.431	36	14	"NA/19/2020/9000/30_49_38049_2"	NA	NA
0.415	36.5	14	"NA/19/2020/9000/30_49_38049_2"	NA	NA
0.486	38.5	14	"NA/19/2020/9000/30_49_38049_2"	NA	NA
0.453	36.5	14	"NA/19/2020/9000/30_49_38049_2"	NA	NA
0.327	36.5	14	"NA/19/2020/9000/30_49_38049_2"	NA	NA
0.529	37	14	"NA/19/2020/9000/30_49_38049_2"	NA	NA
0.318	33.5	14	"NA/19/2020/9000/30_49_38049_2"	NA	NA
0.379	36	10	"NA/19/2020/9000/30_4_38004_1"	NA	NA
0.307	34.5	10	"NA/19/2020/9000/30_4_38004_1"	NA	NA
0.459	38.5	10	"NA/19/2020/9000/30_4_38004_1"	NA	NA
0.392	35.5	10	"NA/19/2020/9000/30_4_38004_1"	NA	NA
0.388	35.5	10	"NA/19/2020/9000/30_4_38004_1"	NA	NA
0.435	37.5	10	"NA/19/2020/9000/30_4_38004_1"	NA	NA
0.518	38	10	"NA/19/2020/9000/30_4_38004_1"	NA	NA
0.457	37	10	"NA/19/2020/9000/30_4_38004_1"	NA	NA
0.403	36.5	10	"NA/19/2020/9000/30_4_38004_1"	NA	NA
0.354	34.5	10	"NA/19/2020/9000/30_4_38004_1"	NA	NA
0.234	31	10	"NA/19/2020/9000/30_4_38004_1"	NA	NA
0.423	36.5	10	"NA/19/2020/9000/30_4_38004_1"	NA	NA
0.448	36.5	10	"NA/19/2020/9000/30_4_38004_1"	NA	NA
0.503	39	10	"NA/19/2020/9000/30_4_38004_1"	NA	NA
0.519	40	10	"NA/19/2020/9000/30_4_38004_1"	NA	NA
0.253	31.5	10	"NA/19/2020/9000/30_4_38004_1"	NA	NA
0.501	38	10	"NA/19/2020/9000/30_4_38004_1"	NA	NA
0.402	36	10	"NA/19/2020/9000/30_4_38004_1"	NA	NA
0.335	35	10	"NA/19/2020/9000/30_4_38004_1"	NA	NA
