"Age"	"Iteration"	"MeanIndividualLength"	"Stratum"
13	17	28.397179238026	"27.4.aE"
14	17	29.047077094352	"27.4.aE"
15	17	28.429929200894	"27.4.aE"
1	18	20.685824200904	"27.4.aE"
2	18	23.482519580141	"27.4.aE"
3	18	25.505717336595	"27.4.aE"
4	18	26.666565945616	"27.4.aE"
5	18	27.001484058742	"27.4.aE"
6	18	27.382987194333	"27.4.aE"
7	18	27.785080348486	"27.4.aE"
8	18	27.705658190024	"27.4.aE"
9	18	27.799553145684	"27.4.aE"
10	18	28.158430444837	"27.4.aE"
11	18	27.936392404793	"27.4.aE"
12	18	27.902485053915	"27.4.aE"
13	18	28.588198340435	"27.4.aE"
14	18	29.070169672988	"27.4.aE"
15	18	28.75203312524	"27.4.aE"
1	19	20.073747078877	"27.4.aE"
2	19	23.24635723214	"27.4.aE"
3	19	25.315801951342	"27.4.aE"
4	19	26.895840291702	"27.4.aE"
5	19	27.091760785446	"27.4.aE"
6	19	27.410698668164	"27.4.aE"
7	19	27.506794658459	"27.4.aE"
8	19	27.477826220702	"27.4.aE"
9	19	28.267843648539	"27.4.aE"
10	19	28.273362507492	"27.4.aE"
11	19	28.221311008504	"27.4.aE"
12	19	28.317700061664	"27.4.aE"
13	19	28.837723425789	"27.4.aE"
14	19	29.034139410829	"27.4.aE"
15	19	29.098222151249	"27.4.aE"
1	20	20.103282203507	"27.4.aE"
2	20	23.159025619346	"27.4.aE"
3	20	25.236415093839	"27.4.aE"
4	20	26.401145928613	"27.4.aE"
5	20	26.822793297462	"27.4.aE"
6	20	26.953200455442	"27.4.aE"
7	20	27.684217307967	"27.4.aE"
8	20	27.661893110843	"27.4.aE"
9	20	27.797914941352	"27.4.aE"
10	20	28.243051482511	"27.4.aE"
11	20	28.610174521881	"27.4.aE"
12	20	28.512318621442	"27.4.aE"
13	20	28.226956920566	"27.4.aE"
14	20	28.622462865884	"27.4.aE"
15	20	28.791282407693	"27.4.aE"
1	21	20.795391147003	"27.4.aE"
2	21	23.316889063536	"27.4.aE"
3	21	25.284555260608	"27.4.aE"
4	21	26.663328286533	"27.4.aE"
5	21	26.866424422891	"27.4.aE"
6	21	27.121478643248	"27.4.aE"
7	21	27.662142485848	"27.4.aE"
8	21	27.561850301883	"27.4.aE"
9	21	28.080535028633	"27.4.aE"
10	21	28.269237093866	"27.4.aE"
11	21	27.385636729063	"27.4.aE"
12	21	27.654576280077	"27.4.aE"
13	21	28.657993165637	"27.4.aE"
14	21	28.884471476758	"27.4.aE"
15	21	28.416612359313	"27.4.aE"
1	22	20.19362014056	"27.4.aE"
2	22	23.310352464106	"27.4.aE"
3	22	25.160974665941	"27.4.aE"
4	22	26.634816903919	"27.4.aE"
5	22	26.987762046234	"27.4.aE"
6	22	27.006356063762	"27.4.aE"
7	22	27.382543106716	"27.4.aE"
8	22	27.260370233689	"27.4.aE"
9	22	27.886361347533	"27.4.aE"
10	22	28.224993087218	"27.4.aE"
11	22	27.875668581327	"27.4.aE"
12	22	28.240718030805	"27.4.aE"
13	22	28.622833502641	"27.4.aE"
14	22	28.658643862626	"27.4.aE"
15	22	28.466532082961	"27.4.aE"
1	23	20.100706056552	"27.4.aE"
2	23	23.234740208382	"27.4.aE"
3	23	25.412026775064	"27.4.aE"
4	23	26.813360024282	"27.4.aE"
5	23	27.183069208268	"27.4.aE"
6	23	27.563857431601	"27.4.aE"
7	23	27.526151901193	"27.4.aE"
8	23	27.619087288186	"27.4.aE"
9	23	27.824944340599	"27.4.aE"
10	23	28.281954388564	"27.4.aE"
11	23	28.677043032871	"27.4.aE"
12	23	28.19297809723	"27.4.aE"
13	23	28.934700348072	"27.4.aE"
14	23	28.709057284812	"27.4.aE"
15	23	29.07567650825	"27.4.aE"
1	24	20.664129266726	"27.4.aE"
2	24	23.382490385676	"27.4.aE"
3	24	25.513957946255	"27.4.aE"
4	24	26.66158258938	"27.4.aE"
5	24	26.931322301238	"27.4.aE"
6	24	27.362978916201	"27.4.aE"
7	24	27.835911364602	"27.4.aE"
8	24	27.820859520051	"27.4.aE"
9	24	28.12868519954	"27.4.aE"
10	24	28.446702219811	"27.4.aE"
11	24	27.947806913009	"27.4.aE"
12	24	28.49618998946	"27.4.aE"
13	24	28.683889211467	"27.4.aE"
14	24	28.861828746786	"27.4.aE"
15	24	28.868717652192	"27.4.aE"
1	25	20.275634855714	"27.4.aE"
2	25	23.384718771155	"27.4.aE"
3	25	25.403720175789	"27.4.aE"
4	25	26.552512296071	"27.4.aE"
5	25	26.949977633549	"27.4.aE"
6	25	27.224744239405	"27.4.aE"
7	25	27.333585397272	"27.4.aE"
8	25	27.514811522292	"27.4.aE"
9	25	27.728710165793	"27.4.aE"
10	25	27.850119566757	"27.4.aE"
11	25	27.970797892319	"27.4.aE"
12	25	28.074416598622	"27.4.aE"
13	25	28.075689024676	"27.4.aE"
14	25	28.126558010624	"27.4.aE"
15	25	28.138116340915	"27.4.aE"
1	26	20.264997277852	"27.4.aE"
2	26	23.399820255015	"27.4.aE"
3	26	25.489228268826	"27.4.aE"
4	26	26.794058358409	"27.4.aE"
5	26	26.918625450086	"27.4.aE"
6	26	27.50683823139	"27.4.aE"
7	26	27.764051970277	"27.4.aE"
8	26	27.602370653959	"27.4.aE"
9	26	28.192218587418	"27.4.aE"
10	26	28.250969238821	"27.4.aE"
11	26	28.588943451176	"27.4.aE"
12	26	28.753917774102	"27.4.aE"
13	26	28.783691991752	"27.4.aE"
14	26	28.957611627224	"27.4.aE"
15	26	28.964291759755	"27.4.aE"
1	27	20.044366174415	"27.4.aE"
2	27	23.280078027186	"27.4.aE"
3	27	25.364037802582	"27.4.aE"
4	27	26.596361487452	"27.4.aE"
5	27	27.268407680246	"27.4.aE"
6	27	27.303893747071	"27.4.aE"
7	27	27.590364981726	"27.4.aE"
8	27	27.732564339314	"27.4.aE"
